,January,February,March,April,May,June,July,August,September,October,November,December,Year
ABW,24.4865112305,24.3759155273,24.4852294922,25.0442504883,25.843963623,26.5661621094,27.9312133789,28.972869873,28.6395568848,27.9595336914,27.0270996094,25.6469116211,26.414934794108337
AFG,-2.5174616495776334,0.6378992716491003,5.298098754880666,10.619677734374669,17.660970052078664,24.279721069338667,26.063328043624665,23.61960144042467,18.815036010742336,11.065617879234066,3.400249226887633,-0.9684315999403535,11.497858852809763
AGO,21.96760293711956,22.574804554819565,22.92712800399348,23.362668908167397,23.342864326808694,22.464915399965214,22.77050515879783,24.03021439261957,25.311855813734788,25.395088527515224,23.65116948666739,22.044531780741305,23.320279107579164
AIA,24.2325744629,23.711227417,23.52169799805,23.7218017578,24.2826690674,24.95240783695,26.0333099365,27.263122558600003,27.8080749512,27.6124420166,26.68388366695,25.2989654541,25.426848093670827
ALB,5.652760823566666,4.755818684896666,6.81059773763,9.535257975266669,14.256184895833334,19.95731608073333,24.564280192066672,24.08659871416667,18.857350667333336,12.436004638666668,8.38821411132,6.781188964843333,13.006797790526946
AND,8.63433837891,8.66549682617,9.67419433594,12.1560668945,15.5284118652,20.1656188965,23.6901245117,23.6018066406,20.3056335449,15.8058776855,12.2304992676,10.3088989258,15.063913981110003
ANT,24.32835388185,24.1640014648,24.2739715576,24.83143615725,25.59240722655,26.3244018555,27.777282714850003,28.79385375975,28.4613952637,27.778427124,26.8942718506,25.49200439455,26.225983937583337
ARE,17.8442818778,20.342463902085715,24.649204799085712,28.992880684985717,33.73460170201428,38.5411376953,39.82043892995715,39.29962158204285,36.08179146902857,30.49037824358572,24.1633998326,19.649557931085717,29.46747988746429
ARG,21.387729351335103,20.84666384182952,18.39858304537385,13.982040405273846,10.992189260627889,8.780622922459003,8.318862621599614,9.52351203331552,11.942015721249232,14.166043795069807,17.16189369788635,19.81548690795548,14.609636966997932
ARM,-2.779437255858,-1.6138122558602,2.335021972655,6.161657714841999,11.685760498048,17.10828857422,22.72538452148,22.51325073242,16.05703125002,8.34534301758,1.7166320800799997,-1.2398010253908,8.584609985353
ASM,28.3461608887,28.8136901855,28.8021850586,28.7781677246,28.0807495117,27.1448669434,26.3535766602,26.1482849121,26.5323181152,26.9605407715,27.396484375,27.8609008789,27.601493835449997
ATF,27.4473876953,27.545715332,27.8832397461,27.9316101074,26.8061218262,25.4996337891,24.4862976074,24.089263916,24.3090820312,25.1295776367,26.3248291016,27.2685852051,26.226778666174997
ATG,24.17323303225,23.6622467041,23.5321502686,23.78279113765,24.3460083008,25.0001373291,26.12728881835,27.3797149658,27.8994140625,27.67916870115,26.739654541,25.31370544435,25.469626108804164
AUS,26.9504857042099,26.14300591362652,25.14921793619368,22.954294840495688,19.57744628906385,16.042210828991113,15.090521375867864,17.053786892359557,20.72028795030218,23.735485297307456,25.328897840710678,26.322816569008022,22.089038119844712
AUT,-0.0705760609021454,-0.7768887606535636,1.6355119185013636,5.648892489346364,9.779729669752728,14.602117365063636,17.278830788363635,16.098754882818184,12.39286388050909,7.068897594106364,3.935890891334545,1.770294189452,7.4470265706410155
