,January,February,March,April,May,June,July,August,September,October,November,December,Year
ABW,24.6008605957,24.4756774902,24.5610961914,24.9709472656,25.7841491699,26.5152282715,27.8648071289,29.043182373,28.6615905762,27.9855651855,26.9376220703,25.6724243164,26.42276255288333
AFG,-2.0355331420859,0.4191660563138532,5.660231526692333,10.872113037108797,17.14541320801323,24.072061157224176,25.468849690753675,23.862286376948667,18.961537679037,10.860575358068798,3.1886789957631327,-0.8585362752242001,11.468070305717797
AGO,21.976797352665216,22.48029028851088,22.459987474517398,22.96734751825869,23.14230744735218,21.994077599567397,22.425050154967398,24.19825147546087,25.26791580863913,25.56513578995001,23.404516468878256,22.024477087930435,23.15884620555816
AIA,24.2120513916,23.7111053467,23.5405883789,23.719909668,24.2734222412,25.01040649415,26.1128540039,27.28340148925,27.8299102783,27.4615020752,26.534072876,25.2300109863,25.409936269124998
ALB,4.956858317056667,5.275431315103334,6.750610351563334,9.25637817383,14.313385009766668,19.45725504556667,25.0836791992,24.36591593423333,19.325378417966665,13.647755940766666,9.46780395508,6.42339070638,13.193653530542777
AND,8.47103881836,9.24685668945,10.0745544434,12.3526306152,15.5822143555,20.1364135742,23.8930664062,24.1484375,21.0999450684,15.9782409668,11.9661254883,9.58642578125,15.211329142255002
ANT,24.4455566406,24.27877807615,24.33755493165,24.75462341305,25.54025268555,26.31564331055,27.76472473145,28.89263916015,28.50541687015,27.8088378906,26.81367492675,25.5277862549,26.2487907409625
ARE,17.802839006685712,19.783220563628568,24.805254255042858,28.50099400111428,34.034855433857146,38.340209960928576,39.77893938338571,39.65254865372857,36.1066807338,30.24758039201428,23.800070626400004,19.58782087052857,29.37008449009285
ARG,21.068206787103755,20.62566140981588,18.219299903276838,14.082699408898556,10.63663130540058,8.095223646896521,7.972321436953262,9.630000774678232,11.917633936952786,14.1650939354502,16.81567852313799,19.65558448204357,14.407002962550683
ARM,-2.910113525392,-0.5546325683588199,2.4157470703126,6.636187744141999,11.597778320318,17.8671203613,24.09179077148,23.0934020996,16.32025146482,8.804449462884,2.8580505371100005,-0.0845458984368,9.177957153314916
ASM,28.2723083496,28.6741943359,28.8100280762,28.5643005371,27.8598632812,26.9970397949,26.5871276855,26.196472168,26.4805908203,26.9422607422,27.3976135254,27.8084411621,27.549186706533334
ATF,27.117767334,27.3950195312,27.7340393066,27.6912841797,26.4782409668,25.0686035156,24.1416015625,23.9051208496,24.0221862793,24.7574462891,25.977722168,26.9936218262,25.940221150716667
ATG,24.1822357178,23.69010925295,23.5722503662,23.77815246585,24.328414917,25.07290649415,26.20703125,27.40295410155,27.9200286865,27.5432891846,26.5919799805,25.2625274658,25.462656656908337
AUS,26.4750665961382,26.33922037760668,25.016915825740448,22.84424194336057,19.67367011176276,15.988369954429604,15.008226047094086,16.902722032333816,20.351685112849022,23.20181423611134,24.877449273002444,26.127309977209244,21.900557623969856
AUT,-0.1725047718397272,0.3178405761714181,1.673406427556545,4.780323375355454,10.144325949934546,13.933552135127274,16.90786188299091,16.217085404827273,12.788410533554543,8.18323586203909,4.603870738637273,0.6980230158024091,7.506285927513083
AZE,0.8639498623938183,2.662536621093446,4.979791814629363,8.499644886359091,12.542341752471817,17.8027787642,22.545854048290902,21.83128218217273,16.7447454279,10.899885697794549,5.94606434216,3.514149058951636,10.736085371534779
BDI,19.802703857433333,20.527923584,21.184906005833337,21.4929707845,21.6277770996,22.59286499023333,23.53989664713333,24.5377298991,24.368621826166663,22.748555501266665,20.663543701166663,19.653371175133334,21.895072089297226
BEL,3.831115722656667,3.5999704996750004,4.405970255531667,6.7837117513016665,10.439788818371666,14.101715087916666,16.592208862316667,16.968505859383335,14.76994832355,10.55405680337,7.352305094401667,4.587743123371666,9.498920016820556
BEN,25.703617095925,27.846164703374995,29.490333557125,28.57889938355,26.6753578186,25.999992370612496,25.953124999987494,25.289031982425,24.9659080505375,25.469100952175,26.461215972912505,26.0260276794375,26.53823121388854
