,January,February,March,April,May,June,July,August,September,October,November,December,Year
ABW,26.491741,26.674313,27.219265,27.641285,28.247705,28.43945,28.566055,28.795414,28.838531,28.363302,27.787155,27.090826,27.8462535
AFG,0.09617378,2.245676,7.380423,13.161995,18.253244,23.077696,25.175522,23.819813,19.105152,13.177561,6.9461336,2.2441201,12.890292456666666
AGO,22.897865,22.98006,22.99719,22.504475,21.06725,18.741627,18.224937,20.075193,22.265032,23.31187,23.03111,22.853683,21.74585766666667
AIA,23.97156,23.916513,24.29266,24.608257,25.431192,25.862385,26.127523,26.537617,26.523853,26.255962,25.743118,24.744953,25.33463275
ALB,1.6372589,2.7165608,6.024615,9.995722,14.591192,18.232206,21.0772,21.081392,17.342278,12.431776,7.556615,3.5563183,11.3535945
AND,0.72316515,1.5153669,3.9947248,6.1465597,10.009863,13.911926,16.962385,16.918577,14.086009,9.386009,4.277293,1.5502293,8.290175654166667
ANT,26.692856,26.80982,27.22232,27.810268,28.628124,28.91473,28.90134,29.243305,29.453571,28.92009,28.187054,27.278126,28.171800333333334
ARE,18.185928,19.206568,22.369827,26.534266,30.749533,32.592365,33.783325,33.48354,31.565643,28.101267,23.868952,20.102852,26.712005499999993
ARG,20.392338,19.549664,17.414013,13.836169,10.357084,7.6981688,7.270381,8.83897,11.42163,14.298762,17.054714,19.33553,13.95561865
ARM,-7.134692,-5.268277,0.32056877,7.3460646,12.503009,16.806042,20.644306,20.535563,16.049255,9.44216,2.8169942,-3.8059623,7.521252605833332
ASM,27.16422,27.196331,27.2789,27.190826,26.642202,26.211926,25.844036,25.85321,26.130276,26.422018,26.679815,26.877981,26.62431175
ATF,27.766056,27.72844,28.390827,28.333944,27.855045,26.053211,25.37156,25.672476,26.663303,27.912846,28.333027,27.93578,27.334709583333336
ATG,24.663761,24.630276,24.898624,25.28165,25.99679,26.456882,26.691742,26.968807,26.910091,26.708258,26.226147,25.33945,25.8977065
AUS,27.395493,26.850956,25.066504,21.66571,17.81826,14.896624,14.075693,15.757487,18.887165,22.17104,24.850462,26.560062,21.332954666666666
AUT,-3.3326793,-2.0940516,1.6723248,5.712003,10.429095,13.527552,15.46335,15.149179,11.926428,7.31764,1.7877128,-1.9500449,6.300709066666666
AZE,-1.8331146,-0.5679828,3.8407407,10.312341,15.733142,20.755352,23.941757,23.60315,19.031637,12.363691,6.0302095,0.31989858,11.127568448333335
BDI,20.492207,20.68555,20.622288,20.607136,20.296206,19.765099,19.709734,20.755451,21.343172,21.216335,20.547396,20.434305,20.53957325
BEL,2.1975498,2.771473,5.6724095,8.62306,12.788354,15.60923,17.462563,17.289717,14.468262,10.3591585,5.7969723,3.1652353,9.683665366666666
BEN,26.60736,28.722021,30.241001,30.313465,29.075344,27.251266,25.99493,25.425426,26.059332,27.200542,27.408848,26.610403,27.57582816666667
BFA,25.00895,27.778927,30.64985,32.114037,31.525183,29.335026,27.32893,26.371262,27.091038,28.737278,27.650463,25.451948,28.253574333333336
BGD,18.400917,20.626333,24.89707,27.452908,27.996243,28.001816,27.849506,27.900522,27.89447,26.683697,23.1761,19.479916,25.029958166666663
BGR,-0.6469165,0.9578768,5.072773,10.28578,15.480963,19.216545,21.669586,21.36611,17.297567,12.062449,6.278604,1.595856,10.886432775000001
BHR,15.952678,17.80759,21.67701,26.598438,32.183258,34.813393,36.31607,35.97344,33.287945,28.762945,23.183928,18.073885,27.05254833333333
BHS,21.030893,21.317396,22.556759,23.935583,25.53452,27.111929,27.766525,27.841724,27.5834,26.123653,23.829882,22.00939,24.720137833333336
BIH,-1.0714629,0.3632919,4.476967,8.929559,13.611038,17.155777,19.505257,19.389984,15.505979,10.388612,5.2180295,1.3035986,9.564719174999999
BLR,-6.079421,-5.4600897,-0.74375874,6.943232,13.20833,16.602148,18.326496,17.291264,12.6282215,6.703083,1.0312505,-3.6391327,6.400968571666667
BLZ,22.602201,23.275476,24.758888,26.26623,27.08788,27.196598,26.689564,26.92857,26.865765,25.765991,23.674255,22.863781,25.331266583333335
BMU,17.431192,16.865139,17.266056,18.365139,20.868809,23.593578,25.938532,26.529358,25.86789,23.801834,20.76422,18.413761,21.308792333333333
BOL,22.506031,22.40112,21.954306,20.84613,19.04584,17.64232,17.575397,19.13738,21.28503,22.216051,22.653551,22.640081,20.82526975
BRA,25.587147,25.648144,25.45454,24.97765,24.120182,23.315144,23.201168,24.085636,25.049866,25.613346,25.64439,25.635199,24.861034333333333
BRB,24.910091,24.887615,25.305964,25.819723,26.583487,26.570642,26.42844,26.699081,26.745413,26.597706,26.265137,25.565596,26.031574583333338
BRN,25.489264,25.570047,26.01875,26.526361,26.550488,26.400257,26.205612,26.279423,26.170471,25.980783,25.649979,25.803827,26.053771833333332
BTN,3.8243954,5.499438,9.203405,12.048304,14.613421,17.139044,17.637466,17.513086,16.386631,13.088699,8.6381,5.3065004,11.741540816666669
BWA,26.313492,25.656698,24.278164,21.611168,17.641043,14.479787,14.238727,17.100134,21.14522,24.406277,25.4891,25.991337,21.52926225
CAF,24.42284,26.184528,27.15423,27.029903,26.134487,24.899399,23.99718,23.803404,24.125153,24.580994,24.52952,23.874767,25.061367083333337
CAN,-24.660717,-23.691502,-19.197803,-10.452891,-0.9048363,6.7404375,10.750254,9.166878,3.3114586,-4.656958,-14.342758,-21.157711,-7.424679016666668
CCK,26.966055,27.181652,27.31376,27.11376,26.759634,26.036697,25.665136,25.519266,25.700918,26.123852,26.375229,26.655045,26.450916999999993
CHE,-2.6386917,-1.8231974,1.3053128,4.6453805,8.9763,12.254578,14.166199,13.789207,10.910398,6.5687165,1.6354532,-1.3291876,5.7050390250000005
CHL,12.248655,11.834747,10.631454,8.3960905,6.02496,4.274179,3.8683898,4.5411034,6.0877028,7.8253984,9.59342,11.257296,8.048616325
CHN,-8.627694,-5.76054,0.39328176,7.6225295,13.06706,17.241348,19.591677,18.660713,14.127462,7.538675,-0.4797562,-6.674736,6.391668338333333
CIV,25.908178,27.748844,28.298542,28.090113,27.25332,25.90831,24.954948,24.703165,25.298588,25.982883,26.325115,25.58441,26.338034666666662
CMR,24.122929,25.714558,26.83192,27.077219,26.12348,24.865734,23.79921,23.575397,24.11028,24.737364,24.707067,23.92406,24.965768166666663
COD,24.19653,24.525284,24.712467,24.582584,24.316914,23.2464,22.766983,23.44299,24.100864,24.302727,24.206036,24.017864,24.034803583333332
COG,24.848,25.429203,25.753925,25.668222,25.360834,23.940098,23.148796,23.417263,24.182396,24.653608,24.656227,24.596886,24.637954833333335
COK,26.407145,26.61473,26.509151,26.031696,25.038393,24.174553,23.664286,23.658705,23.92009,24.569643,25.210491,25.768305,25.130599
COL,24.814747,25.15298,25.3228,25.014793,24.5635,24.112782,24.008745,24.281918,24.52615,24.597805,24.66608,24.645845,24.642345416666668
COM,26.467052,26.393885,26.656473,26.422232,25.50634,23.941204,23.257456,23.594822,24.310982,25.524242,26.455713,26.512411,25.42023433333333
CPV,21.23881,20.893572,21.322947,21.761814,22.350388,23.305655,24.23113,25.286993,25.793186,25.19741,24.065208,22.419703,23.155568
CRI,24.4625,24.900076,25.80665,26.20814,25.68363,24.939058,25.048485,24.866076,24.612514,24.373112,24.018946,23.937218,24.904700416666667
CUB,22.29809,22.507835,23.73882,24.790043,26.06103,26.990345,27.373692,27.456167,27.119701,26.163437,24.522861,23.14307,25.18042425
CXR,25.959635,26.210093,26.323853,26.433945,25.894495,25.166056,24.580734,24.759632,25.216513,25.838531,25.998165,25.988993,25.69755375
CYM,24.936697,25.24587,25.857798,26.369724,27.503668,28.420185,28.557796,28.555044,28.405506,27.984402,26.788992,25.869724,27.04128383333334
CYP,10.265357,10.7998905,13.007887,16.635536,20.762241,24.688662,27.405396,27.64881,25.138126,21.272985,16.235823,12.068949,18.827471875
CZE,-2.6573064,-1.3579634,2.754628,7.5761566,12.519987,15.566973,17.438597,17.039618,13.400022,8.284483,2.7069855,-1.1499554,7.676852075
DEU,-0.40384316,0.44368964,3.9217591,7.8590536,12.441997,15.463537,17.349094,16.965397,13.73414,9.000951,4.086176,0.8426736,8.475385398333332
DJI,23.69607,24.66001,26.280304,27.958399,29.675436,31.604233,32.23506,31.519388,30.263264,27.696127,25.554768,23.98981,27.927739083333332
DMA,21.166056,20.865139,21.113302,21.564678,22.615597,23.17844,23.221102,23.429358,23.279358,22.973852,22.533028,21.762386,22.308524666666667
DNK,-0.26206094,-0.2898539,2.2076719,6.303566,11.067823,14.528601,16.723515,16.282425,13.088995,8.8251295,4.419141,1.2443378,7.844940863333332
DOM,22.09512,22.368814,23.130676,23.902231,24.66631,25.233608,25.460255,25.848354,25.667942,25.077343,24.064308,22.88911,24.20033925
DZA,12.062899,14.645187,18.057344,22.07243,26.438126,30.746592,32.447433,31.79685,28.77006,23.466488,17.579304,13.184766,22.605623250000004
ECU,22.333735,22.483534,22.584333,22.566978,22.119583,21.368158,20.922686,21.165274,21.452408,21.693396,21.82902,22.041245,21.88002916666667
EGY,13.43483,15.014376,18.070831,22.572153,26.587545,28.948383,29.518036,29.586905,27.658884,24.726238,19.40804,14.883992,22.534184416666665
ERI,22.792479,23.63928,25.209665,27.448084,29.011398,29.908346,29.164667,28.496449,28.13345,27.17503,25.441948,23.553226,26.664501833333336
ESH,17.638433,18.883799,20.714146,22.417137,24.515425,26.74971,29.03057,29.114868,27.771042,25.257046,21.866241,17.97442,23.494403083333335
ESP,6.291456,7.338598,9.50577,11.516542,14.853701,18.816353,21.92217,22.062016,19.078846,14.467189,9.772955,6.962533,13.549010749999999
EST,-5.424954,-5.8028765,-2.2151089,4.161221,9.996335,14.2653,17.107775,15.988512,11.410322,6.110081,1.0195237,-3.0479574,5.297347741666666
ETH,21.726053,22.867867,24.000721,24.447376,24.336813,23.93457,23.004854,22.730026,23.197289,22.739773,21.94503,21.400387,23.02756325
FIN,-10.748751,-10.811792,-6.2595205,-0.023051424,6.5197096,12.269081,15.338081,13.26593,8.076475,1.8826134,-3.8635705,-8.211466,1.4528115480000003
FJI,25.72727,26.054348,25.860605,25.26067,23.904587,23.102154,22.280159,22.498392,22.929874,23.719257,24.542858,25.204304,24.257039833333334
FLK,9.73596,9.754831,8.773879,6.5362396,4.086082,2.6100051,2.047549,2.6245275,3.8733191,5.809471,7.2883577,8.900963,6.003432
FRA,3.351265,4.1506233,6.769156,9.385042,13.14492,16.342558,18.545862,18.407234,15.75828,11.600126,6.843684,4.1763206,10.706255908333333
FRO,3.070357,2.9653573,3.4278572,4.6464286,6.6010714,8.787024,10.342203,10.6,9.209524,7.1775002,4.860774,3.7129166,6.283417775000001
FSM,27.200596,27.270239,27.34762,27.38482,27.41012,27.261011,27.07113,27.17381,27.085714,27.233929,27.23244,27.277975,27.245783666666668
GAB,25.737162,25.951916,26.175632,26.086063,25.76527,24.173752,23.048449,23.38454,24.575214,25.174837,25.122929,25.095291,25.02425458333333
GBR,3.548619,3.5809588,5.064868,7.073514,10.003707,12.657145,14.396339,14.28286,12.310248,9.353575,5.982785,4.198056,8.5377229
GEO,-6.7329054,-5.603352,-0.84495336,6.0286283,11.18321,14.751567,17.87851,17.875843,13.702637,7.917512,1.8451626,-4.007554,6.1661920949999995
GGY,5.681193,5.63578,7.2582564,9.23211,12.2848625,14.846331,16.695871,16.84266,15.008257,11.933027,8.31789,6.4614677,10.8498088
GHA,26.858465,28.940424,29.48669,29.184666,28.177439,26.647793,25.691345,25.361197,25.87995,26.791925,27.29367,26.552588,27.238846000000006
GIB,12.112844,12.505505,13.9862385,15.614679,18.088991,21.21835,23.7422,24.409174,22.514679,18.977064,15.151377,12.9440365,17.605428166666666
GIN,24.649113,26.551828,28.042255,28.549387,27.838787,25.995438,24.83363,24.320457,24.924631,25.486996,25.465471,24.262762,25.910062916666664
GLP,23.541965,23.390476,23.68631,24.241667,25.225595,25.861012,26.01131,26.12976,25.928274,25.572918,25.074406,24.166668,24.902530083333335
GMB,24.336384,26.50319,28.300287,29.71438,30.273235,29.49849,27.80812,27.0253,27.14152,28.151031,26.988947,24.430103,27.514248916666663
GNB,24.651972,26.508854,28.136087,29.119976,29.223698,28.012686,26.483072,25.970535,26.507477,27.275259,26.8827,24.694122,26.955536499999997
GNQ,25.11021,25.600958,25.434168,25.34959,25.120152,24.256306,23.166306,23.287128,24.08874,24.268414,24.62045,24.746603,24.587418749999998
GRC,6.1981897,7.0346656,9.367796,12.979808,17.402353,21.608572,24.379965,24.35519,20.879818,16.385544,11.801954,7.847636,15.020124275
GRD,25.13211,25.13945,25.763302,26.56422,27.450459,27.406422,27.104588,27.326605,27.33578,27.137615,26.691742,25.772476,26.568730749999997
GRL,-25.267117,-26.91561,-28.09312,-21.767223,-12.375917,-5.4377356,-2.2454634,-4.8241305,-12.179098,-18.721256,-23.740078,-25.515888,-17.256886375
GTM,21.373981,22.064686,23.521538,24.806408,25.176907,24.82769,24.402937,24.511936,24.23715,23.545712,22.270405,21.6134,23.529395833333336
GUF,24.954735,24.894947,25.191051,25.464771,25.463657,25.359854,25.337492,25.834217,26.266336,26.501606,26.228786,25.48698,25.582036000000002
GUM,26.61473,26.590626,26.85759,27.392857,27.735714,28.081696,27.84866,27.61875,27.855356,27.83616,27.625,27.203571,27.438392500000003
GUY,25.128056,25.196507,25.480824,25.662146,25.644125,25.336306,25.204128,25.715021,26.302227,26.5953,26.393805,25.609415,25.68898833333333
HKG,15.412203,15.789286,18.532738,22.404762,25.96726,27.632145,28.444345,28.362799,27.50387,24.790775,20.947025,16.91994,22.725595666666667
HND,22.072206,22.673147,23.976229,25.019894,25.378029,24.884787,24.54185,24.716167,24.642506,23.96793,22.861256,22.349146,23.923595583333338
HRV,0.7185339,2.3186197,6.275109,10.548062,15.168462,18.628862,20.911066,20.598444,16.892742,11.9067955,6.7133613,2.6271615,11.108934908333334
HTI,22.547443,22.783987,23.533813,24.264385,25.114643,25.847164,26.04891,26.28799,26.062984,25.477484,24.336657,23.172832,24.623191000000002
HUN,-1.8848374,0.25047463,5.148767,10.475495,15.426147,18.63689,20.44594,19.948132,15.978831,10.558283,4.791119,0.17032793,9.995464096666668
IDN,25.78099,25.867783,26.067684,26.243702,26.228962,25.814602,25.490498,25.587109,25.81344,26.198832,26.24816,26.015396,25.94642983333333
IMN,3.739732,3.7683036,5.120536,7.151339,10.104017,12.710268,14.280803,14.064285,12.178125,9.358929,6.05,4.4410715,8.580617425
IND,16.77494,18.919302,23.226759,27.065495,29.333054,28.827402,26.874523,26.229746,25.976925,24.376797,20.582417,17.401814,23.799097833333335
IOT,27.6,28.0,28.4,28.6,27.9,26.9,26.5,26.4,26.6,26.9,27.5,27.9,27.433333333333334
IRL,4.941451,5.049791,6.2485228,7.9061904,10.416128,12.965464,14.584889,14.404764,12.664339,10.003481,6.8925943,5.542906,9.301710041666666
IRN,4.8412075,6.902476,11.438702,16.968443,22.29544,26.714254,28.764746,27.677898,23.858746,18.317085,12.034037,6.793994,17.217252374999997
IRQ,8.613132,10.67494,14.641055,20.324488,26.17577,30.430853,32.89258,32.72808,29.175777,23.537235,16.015854,10.249596,21.28828
ISL,-2.5551138,-2.5706522,-1.9730555,-0.09395046,3.5561461,6.8411493,8.832794,8.12615,5.4064183,1.8642042,-1.170599,-2.3106425,1.9960707033333331
ISR,11.337013,12.244237,14.526907,18.326462,21.950771,24.686363,26.537582,26.925446,25.296347,22.467735,17.576624,13.1125,19.58233225
ITA,4.261962,4.954588,7.441755,10.448172,14.621475,18.489254,21.122929,21.160656,18.04299,13.710591,9.080622,5.654943,12.415828083333336
