ObDate,Clarion_x,Clarion_y,Confluence,Dubois,Erie,Indiana,Laurel_Mountain,New_Castle,Pittsburgh,Tionesta,Uniontown,Warren,Waynesburg
1970-01-01,7.0,7.0,4.0,,6.0,3.0,,3.0,3.0,8.0,,9.0,
1970-01-02,7.0,7.0,4.0,,7.0,3.0,,3.0,4.0,9.0,,9.0,
1970-01-03,8.0,8.0,8.0,,9.0,5.0,,3.0,5.0,9.0,3.0,10.0,2.0
1970-01-04,9.0,9.0,7.0,,11.0,6.0,,3.0,4.0,10.0,3.0,11.0,2.0
1970-01-05,10.0,10.0,6.0,,11.0,6.0,,3.0,4.0,10.0,2.0,11.0,1.0
1970-01-06,10.0,10.0,5.0,,10.0,3.0,,3.0,3.0,9.0,1.0,10.0,
1970-01-07,10.0,10.0,7.0,,10.0,5.0,,3.0,5.0,9.0,4.0,10.0,4.0
1970-01-08,10.0,10.0,7.0,,11.0,5.0,,3.0,5.0,8.0,4.0,10.0,4.0
1970-01-09,11.0,11.0,7.0,,10.0,5.0,,3.0,4.0,13.0,3.0,10.0,4.0
1970-01-10,11.0,11.0,7.0,,10.0,5.0,,3.0,3.0,9.0,3.0,12.0,4.0
1970-01-11,11.0,11.0,7.0,,10.0,5.0,,3.0,3.0,9.0,3.0,11.0,4.0
1970-01-12,12.0,12.0,10.0,,11.0,7.0,,5.0,4.0,11.0,6.0,12.0,7.0
1970-01-13,12.0,12.0,9.0,,12.0,6.0,,5.0,4.0,11.0,5.0,12.0,6.0
1970-01-14,12.0,12.0,9.0,,11.0,7.0,,6.0,4.0,11.0,4.0,12.0,5.0
1970-01-15,12.0,12.0,8.0,,11.0,7.0,,6.0,4.0,11.0,3.0,12.0,5.0
1970-01-16,11.0,11.0,8.0,,11.0,6.0,,5.0,4.0,11.0,3.0,12.0,4.0
1970-01-17,11.0,11.0,7.0,,6.0,4.0,,3.0,2.0,9.0,1.0,10.0,3.0
1970-01-18,10.0,10.0,5.0,,8.0,3.0,,3.0,1.0,8.0,1.0,10.0,2.0
1970-01-19,10.0,10.0,4.0,,8.0,3.0,,3.0,1.0,8.0,1.0,10.0,2.0
1970-01-20,10.0,10.0,5.0,,8.0,3.0,,4.0,1.0,9.0,3.0,10.0,2.0
1970-01-21,11.0,11.0,7.0,,9.0,6.0,,4.0,2.0,10.0,3.0,11.0,3.0
1970-01-22,10.0,10.0,6.0,,9.0,6.0,,4.0,2.0,10.0,2.0,10.0,3.0
1970-01-23,10.0,10.0,6.0,,9.0,6.0,,4.0,2.0,10.0,3.0,10.0,2.0
1970-01-24,11.0,11.0,7.0,,10.0,6.0,,4.0,3.0,10.0,2.0,11.0,3.0
1970-01-25,12.0,12.0,7.0,,10.0,6.0,,3.0,2.0,10.0,,11.0,2.0
1970-01-26,9.0,9.0,4.0,,4.0,2.0,,1.0,,6.0,,9.0,
1970-01-27,8.0,8.0,4.0,,4.0,2.0,,1.0,,6.0,,9.0,
1970-01-28,10.0,10.0,4.0,,4.0,3.0,,1.0,,6.0,,10.0,
1970-01-29,7.0,7.0,2.0,,1.0,2.0,,,,4.0,,7.0,
1970-01-30,7.0,7.0,2.0,,,,,,,4.0,,6.0,
1970-01-31,7.0,7.0,1.0,,,,,,,4.0,,6.0,
1970-02-01,7.0,7.0,,,,,,,,4.0,,6.0,
1970-02-02,6.0,6.0,,,,,,,,3.0,,4.0,
1970-02-03,,,,,2.0,,,1.0,1.0,3.0,4.0,2.0,1.0
1970-02-04,4.0,4.0,2.0,,4.0,5.0,,3.0,4.0,7.0,3.0,4.0,3.0
1970-02-05,7.0,7.0,1.0,,5.0,5.0,,2.0,4.0,8.0,1.0,5.0,4.0
1970-02-06,6.0,6.0,3.0,,2.0,4.0,,1.0,2.0,8.0,,3.0,3.0
1970-02-07,5.0,5.0,3.0,,,4.0,,,2.0,7.0,,2.0,
1970-02-08,4.0,4.0,1.0,,,3.0,,,3.0,6.0,,2.0,
1970-02-09,4.0,4.0,1.0,,,,,,1.0,6.0,,1.0,
1970-02-10,4.0,4.0,1.0,,,,,,,7.0,2.0,1.0,
1970-02-11,5.0,5.0,3.0,,6.0,4.0,,3.0,1.0,11.0,1.0,7.0,
1970-02-12,5.0,5.0,3.0,,6.0,4.0,,3.0,1.0,9.0,1.0,8.0,1.0
1970-02-13,7.0,7.0,4.0,,8.0,6.0,,2.0,3.0,14.0,1.0,9.0,1.0
1970-02-14,5.0,5.0,3.0,,7.0,6.0,,2.0,2.0,11.0,2.0,8.0,
