StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USC00369298,1970-01-01,1.2,9,27,10
USC00369298,1970-01-02,0.80000000000000004,9,28,10
USC00369298,1970-01-03,1.3999999999999999,10,28,20
USC00369298,1970-01-04,1,11,21,11
USC00369298,1970-01-05,0.20000000000000001,11,33,15
USC00369298,1970-01-06,0,10,28,18
USC00369298,1970-01-07,0.29999999999999999,10,22,10
USC00369298,1970-01-08,0.90000000000000002,10,10,-4
USC00369298,1970-01-09,0.29999999999999999,10,6,-6
USC00369298,1970-01-10,1.3,12,23,4
USC00369298,1970-01-11,0.29999999999999999,11,24,10
USC00369298,1970-01-12,2.2000000000000002,12,25,18
USC00369298,1970-01-13,1,12,24,16
USC00369298,1970-01-14,1,12,17,4
USC00369298,1970-01-15,0,12,26,-5
USC00369298,1970-01-16,0,12,42,6
USC00369298,1970-01-17,0,10,41,33
USC00369298,1970-01-18,0.59999999999999998,10,35,8
USC00369298,1970-01-19,0.40000000000000002,10,17,-3
USC00369298,1970-01-20,0.59999999999999998,10,14,-1
USC00369298,1970-01-21,1.3999999999999999,11,11,-2
USC00369298,1970-01-22,0,10,16,-8
USC00369298,1970-01-23,0,10,22,7
USC00369298,1970-01-24,1.5,11,17,-7
USC00369298,1970-01-25,0,11,43,16
USC00369298,1970-01-26,0,9,44,28
USC00369298,1970-01-27,0.29999999999999999,9,34,27
USC00369298,1970-01-28,1.2,10,43,28
USC00369298,1970-01-29,0,7,51,33
USC00369298,1970-01-30,0.40000000000000002,6,33,16
USC00369298,1970-01-31,0.20000000000000001,6,38,17
USC00369298,1970-02-01,0,6,50,33
USC00369298,1970-02-02,0,4,46,35
USC00369298,1970-02-03,0.29999999999999999,2,38,6
USC00369298,1970-02-04,2.3999999999999999,4,14,-9
USC00369298,1970-02-05,2.5,5,36,9
USC00369298,1970-02-06,0,3,39,25
USC00369298,1970-02-07,0,2,44,12
USC00369298,1970-02-08,0,2,41,30
USC00369298,1970-02-09,0,1,38,32
USC00369298,1970-02-10,1.1000000000000001,1,37,31
USC00369298,1970-02-11,6.9000000000000004,7,31,20
USC00369298,1970-02-12,1,8,26,16
USC00369298,1970-02-13,2.7000000000000002,9,19,0
USC00369298,1970-02-14,0,8,24,-10
USC00369298,1970-02-15,0,8,30,12
USC00369298,1970-02-16,2.5,9,27,9
USC00369298,1970-02-17,0,8,46,8
USC00369298,1970-02-18,0,7,54,27
USC00369298,1970-02-19,0.29999999999999999,3,45,18
USC00369298,1970-02-20,0.5,4,23,12
USC00369298,1970-02-21,0,4,24,12
USC00369298,1970-02-22,0.29999999999999999,4,52,24
USC00369298,1970-02-23,0,3,41,20
USC00369298,1970-02-24,0,3,47,16
USC00369298,1970-02-25,0,2,42,8
USC00369298,1970-02-26,0,2,24,-3
USC00369298,1970-02-27,0.5,2,26,20
USC00369298,1970-02-28,1.8,3,30,13
USC00369298,1970-03-01,0,2,44,8
USC00369298,1970-03-02,0,1,41,32
USC00369298,1970-03-13,1.7,2,37,24
USC00369298,1970-03-15,1.3,1,30,15
USC00369298,1970-03-18,0.69999999999999996,1,39,29
USC00369298,1970-03-23,0.69999999999999996,1,34,32
USC00369298,1970-03-24,0.80000000000000004,2,37,32
USC00369298,1970-04-03,4.0999999999999996,4,43,26
USC00369298,1970-04-05,1,1,47,18
USC00369298,1970-11-24,5,5,26,14
USC00369298,1970-11-25,4.5999999999999996,7,25,15
USC00369298,1970-11-26,0,4,41,20
USC00369298,1970-12-06,1.8,2,36,18
USC00369298,1970-12-07,2.2000000000000002,4,24,9
USC00369298,1970-12-08,0.59999999999999998,3,38,7
USC00369298,1970-12-09,0,1,44,36
