STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOW,SNWD,TMAX,TMIN
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/1/1970,0.1,3,29,22
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/2/1970,0.6,3,30,23
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/3/1970,2,5,30,20
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/4/1970,3,6,20,9
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/5/1970,0.3,6,36,10
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/6/1970,0.1,3,33,24
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/7/1970,3.2,5,24,10
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/8/1970,0.5,5,10,-3
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/9/1970,0,5,5,-4
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/10/1970,0.8,5,17,2
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/11/1970,0,5,25,-2
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/12/1970,2.5,7,26,21
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/13/1970,0.3,6,25,20
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/14/1970,1.5,7,23,11
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/15/1970,0,7,35,-9
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/16/1970,0,6,47,7
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/17/1970,0,4,38,28
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/18/1970,0,3,36,20
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/19/1970,0,3,20,2
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/20/1970,0.6,3,19,0
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/21/1970,3.6,6,16,0
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/22/1970,0.3,6,15,-10
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/23/1970,0,6,22,-7
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/24/1970,1,6,22,-4
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/25/1970,1,6,46,20
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/26/1970,0,2,48,33
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/27/1970,0.3,2,35,30
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/28/1970,2,3,46,25
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/29/1970,0,2,58,37
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,1/30/1970,0,0,38,20
