STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOW,SNWD,TMAX,TMIN
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/1/1970,0,0,49,48
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/2/1970,0,0,53,44
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/3/1970,0,0,53,44
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/4/1970,0,0,45,31
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/5/1970,0,0,39,32
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/6/1970,0,0,46,32
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/7/1970,0,0,48,34
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/8/1970,0,0,54,35
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/9/1970,0,0,55,38
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/10/1970,0,0,50,38
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/11/1970,0,0,49,45
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/12/1970,0,0,52,48
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/13/1970,0,0,55,45
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/14/1970,0,0,46,39
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/15/1970,0,0,45,37
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/16/1970,0,0,38,23
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/17/1970,0,0,26,21
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/18/1970,0,0,34,23
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/19/1970,0,0,36,27
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/20/1970,0,0,50,33
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/21/1970,0,0,49,29
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/22/1970,0,0,46,30
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/23/1970,0,0,57,18
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/24/1970,0.5,0,19,6
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/25/1970,0.5,0,15,6
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/26/1970,0,0,37,6
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/27/1970,0,0,,
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/28/1970,0,0,52,48
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/29/1970,0,0,52,45
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,11/30/1970,0,0,54,39
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/1/1970,0,0,42,33
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/2/1970,0,0,56,34
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/3/1970,0,0,53,38
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/4/1970,0,0,57,38
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/5/1970,1.5,2,39,22
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/6/1970,1,2,35,11
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/7/1970,2,3,17,11
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/8/1970,3,5,20,10
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/9/1970,0,3,42,17
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/10/1970,0,0,44,32
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/11/1970,0,0,36,28
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/12/1970,0,0,45,30
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/13/1970,0,0,45,30
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/14/1970,2.7,3,32,23
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/15/1970,0,2,31,16
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/16/1970,0,2,30,15
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/17/1970,1.5,4,35,23
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/18/1970,0,3,36,22
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/19/1970,0,2,45,26
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/20/1970,0,0,47,27
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/21/1970,0,0,30,20
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/22/1970,4.5,5,31,25
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/23/1970,0,2,44,29
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/24/1970,0,1,46,15
USC00364836,"LAUREL MOUNTAIN, PA US",40.2004,-79.1882,841.2,12/25/1970,0,1,20,14
