STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOW,SNWD,TMAX,TMIN
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/1/1970,0.5,3,29,24
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/2/1970,1,4,29,24
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/3/1970,0.7,5,29,16
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/4/1970,0.6,4,20,8
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/5/1970,0,4,35,14
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/6/1970,0.9,3,30,17
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/7/1970,1.5,5,17,-2
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/8/1970,0.3,5,0,-5
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/9/1970,0,4,5,-4
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/10/1970,0.1,3,15,2
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/11/1970,1,3,22,2
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/12/1970,0.6,4,26,22
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/13/1970,0.1,4,24,16
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/14/1970,0,4,24,8
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/15/1970,0,4,29,5
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/16/1970,0,4,45,15
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/17/1970,0,2,42,36
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/18/1970,0,1,38,13
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/19/1970,0.4,1,17,6
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/20/1970,1.6,1,16,0
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/21/1970,0.4,2,10,-3
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/22/1970,0,2,12,-4
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/23/1970,0.5,2,21,9
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/24/1970,0.5,3,26,-2
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/25/1970,0,2,48,26
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/26/1970,0.1,0,44,31
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/27/1970,1.1,0,34,31
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/28/1970,0,0,55,25
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/29/1970,0,0,59,33
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/30/1970,0.7,0,33,19
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,1/31/1970,0,0,42,20
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,2/1/1970,0,0,49,34
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,2/2/1970,0,0,49,35
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,2/3/1970,4.6,1,35,1
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,2/4/1970,0,4,16,-6
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,2/5/1970,0.8,4,34,16
USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7,2/6/1970,0,2,35,23
