StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USC00361139,1970-01-01,0,4,38,23
USC00361139,1970-01-02,0,4,29,23
USC00361139,1970-01-03,0,4,32,24
USC00361139,1970-01-04,0,4,28,5
USC00361139,1970-01-05,0,4,23,7
USC00361139,1970-01-06,0,3,35,7
USC00361139,1970-01-07,1,4,25,15
USC00361139,1970-01-08,0,4,19,-4
USC00361139,1970-01-09,0,4,5,-5
USC00361139,1970-01-10,1,5,10,-5
USC00361139,1970-01-11,0,3,20,2
USC00361139,1970-01-12,2,5,25,8
USC00361139,1970-01-13,0,5,28,17
USC00361139,1970-01-14,1,6,26,14
USC00361139,1970-01-15,0,5,22,-9
USC00361139,1970-01-16,0,5,30,-5
USC00361139,1970-01-17,0,4,48,2
USC00361139,1970-01-18,0,4,40,9
USC00361139,1970-01-19,0,2,35,2
USC00361139,1970-01-20,0,2,20,1
USC00361139,1970-01-21,1,3,18,-1
USC00361139,1970-01-22,0,3,11,-11
USC00361139,1970-01-23,0,3,18,-10
USC00361139,1970-01-24,0,3,23,-10
USC00361139,1970-01-25,0,3,29,-8
USC00361139,1970-01-26,0,1,47,24
USC00361139,1970-02-03,1,1,49,19
USC00361139,1970-02-04,3,4,19,-3
USC00361139,1970-02-05,1,5,26,-3
USC00361139,1970-02-06,0,2,38,26
USC00361139,1970-02-08,1,1,42,12
USC00361139,1970-02-11,1,1,35,27
USC00361139,1970-02-12,1,2,32,14
USC00361139,1970-02-13,2,4,27,13
USC00361139,1970-02-14,0,2,20,-5
USC00361139,1970-02-15,1.5,3,28,2
USC00361139,1970-02-16,0,2,32,6
USC00361139,1970-02-17,0,2,32,8
USC00361139,1970-02-27,1,1,31,4
USC00361139,1970-03-13,3,3,31,26
USC00361139,1970-03-15,1,1,44,14
USC00361139,1970-03-18,2,2,38,11
USC00361139,1970-11-24,1,1,22,15
USC00361139,1970-12-07,,1,34,16
USC00361139,1970-12-27,,1,29,14
USC00361139,1970-12-28,,1,29,15
USC00361139,1970-12-29,,3,24,10
USC00361139,1970-12-30,,2,30,8
USC00361139,1970-12-31,,2,28,11
USC00361139,1971-01-01,2,4,30,18
USC00361139,1971-01-02,0,2,48,23
USC00361139,1971-01-03,0,2,39,14
USC00361139,1971-01-04,0,2,38,18
USC00361139,1971-01-19,2,2,21,-10
USC00361139,1971-01-20,1,2,15,-10
USC00361139,1971-01-21,1,1,25,5
USC00361139,1971-01-22,2,2,36,24
USC00361139,1971-01-27,2,2,43,
USC00361139,1971-01-28,0,2,13,8
USC00361139,1971-01-29,0,1,16,5
USC00361139,1971-02-04,1,1,33,-11
USC00361139,1971-02-08,2,2,36,28
USC00361139,1971-02-09,4,6,34,12
USC00361139,1971-02-10,0,6,18,2
USC00361139,1971-02-11,0,6,21,3
USC00361139,1971-02-12,0,3,43,12
USC00361139,1971-02-13,0,2,46,32
USC00361139,1971-02-14,4,6,42,10
USC00361139,1971-02-15,0,6,34,10
USC00361139,1971-02-16,0,6,32,21
USC00361139,1971-02-17,0,4,36,12
USC00361139,1971-02-18,0,2,41,19
USC00361139,1971-02-24,1,1,35,26
USC00361139,1971-02-25,0,1,34,30
USC00361139,1971-03-03,1,1,36,25
USC00361139,1971-03-04,7,8,29,12
USC00361139,1971-03-05,0,2,29,10
USC00361139,1971-03-20,1,1,47,28
USC00361139,1971-03-21,1,2,,29
USC00361139,1971-03-24,1,1,29,19
USC00361139,1971-11-22,4,4,39,25
USC00361139,1971-11-23,0,2,32,8
USC00361139,1971-11-24,0,1,32,8
USC00361139,1971-11-25,5,6,34,28
USC00361139,1971-11-26,0,4,36,28
USC00361139,1971-12-18,4,4,40,17
USC00361139,1971-12-19,0,2,30,17
USC00361139,1972-01-05,1,1,33,26
USC00361139,1972-01-06,0,1,37,15
USC00361139,1972-01-14,1,1,60,15
USC00361139,1972-01-28,3,3,26,11
USC00361139,1972-01-29,0,3,27,-2
USC00361139,1972-01-30,0,2,26,-2
USC00361139,1972-01-31,0,2,28,5
USC00361139,1972-02-01,0,2,33,8
USC00361139,1972-02-02,0,1,37,17
USC00361139,1972-02-04,2,2,36,14
USC00361139,1972-02-05,0,2,25,3
USC00361139,1972-02-06,1,3,33,3
