StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USC00361485,1970-01-01,0,7,26,13
USC00361485,1970-01-02,0.29999999999999999,7,31,10
USC00361485,1970-01-03,0.5,8,29,16
USC00361485,1970-01-04,1.7,9,25,2
USC00361485,1970-01-05,0.5,10,31,5
USC00361485,1970-01-06,0,10,32,5
USC00361485,1970-01-07,0,10,25,6
USC00361485,1970-01-08,0,10,13,-10
USC00361485,1970-01-09,0.29999999999999999,11,5,-11
USC00361485,1970-01-10,0,11,20,-5
USC00361485,1970-01-11,0,11,23,2
USC00361485,1970-01-12,3,12,25,13
USC00361485,1970-01-13,0.5,12,26,12
USC00361485,1970-01-14,1,12,22,-7
USC00361485,1970-01-15,0,12,27,-18
USC00361485,1970-01-16,0,11,41,-6
USC00361485,1970-01-17,0,11,38,24
USC00361485,1970-01-18,0,10,38,15
USC00361485,1970-01-19,0,10,23,-9
USC00361485,1970-01-20,0.29999999999999999,10,16,-8
USC00361485,1970-01-21,2,11,10,-10
USC00361485,1970-01-22,0,10,14,-19
USC00361485,1970-01-23,0,10,21,-9
USC00361485,1970-01-24,1.8,11,20,-15
USC00361485,1970-01-25,1.5,12,37,12
USC00361485,1970-01-26,0,9,45,23
USC00361485,1970-01-27,0,8,35,23
USC00361485,1970-01-28,2,10,45,17
USC00361485,1970-01-29,0,7,52,31
USC00361485,1970-01-30,0,7,39,13
USC00361485,1970-01-31,0,7,40,9
USC00361485,1970-02-01,,7,48,19
USC00361485,1970-02-02,,6,46,25
USC00361485,1970-02-04,,4,12,-13
USC00361485,1970-02-05,,7,34,3
USC00361485,1970-02-06,,6,38,24
USC00361485,1970-02-07,,5,42,0
USC00361485,1970-02-08,,4,36,23
USC00361485,1970-02-09,,4,38,27
USC00361485,1970-02-10,,4,37,26
USC00361485,1970-02-11,,5,36,18
USC00361485,1970-02-12,,5,27,9
USC00361485,1970-02-13,,7,25,4
USC00361485,1970-02-14,,5,20,-15
USC00361485,1970-02-15,,6,32,11
USC00361485,1970-02-16,,7,35,-5
USC00361485,1970-02-17,,8,43,-7
USC00361485,1970-02-18,,6,51,10
USC00361485,1970-02-19,,5,44,15
USC00361485,1970-02-20,,5,23,10
USC00361485,1970-02-21,,5,27,0
USC00361485,1970-02-22,,5,55,9
USC00361485,1970-02-23,,4,39,6
USC00361485,1970-02-24,,3,49,9
USC00361485,1970-02-25,,3,44,1
USC00361485,1970-02-26,,3,25,-7
USC00361485,1970-02-27,,4,36,15
USC00361485,1970-02-28,,3,33,6
USC00361485,1970-03-01,,3,48,2
USC00361485,1970-03-02,,3,46,27
USC00361485,1970-03-03,,2,43,29
USC00361485,1970-03-04,,2,44,29
USC00361485,1970-03-13,,2,36,18
USC00361485,1970-03-15,,2,30,12
USC00361485,1970-03-16,,1,29,-4
USC00361485,1970-03-17,,1,39,-3
USC00361485,1970-03-18,,1,39,24
USC00361485,1970-03-23,,2,35,26
USC00361485,1970-03-24,,1,37,23
USC00361485,1970-03-25,,1,46,24
USC00361485,1970-03-26,,1,57,29
USC00361485,1971-01-01,1.5,4,34,20
USC00361485,1971-01-02,0,4,34,16
USC00361485,1971-01-03,0,3,36,13
USC00361485,1971-01-04,0,2,42,32
USC00361485,1971-01-16,0.5,1,23,9
USC00361485,1971-01-17,0.29999999999999999,1,24,4
USC00361485,1971-01-26,2,2,40,15
USC00361485,1971-01-27,3,5,17,4
USC00361485,1971-01-28,0.29999999999999999,4,14,1
USC00361485,1971-01-29,0.29999999999999999,4,22,3
USC00361485,1971-01-30,3,5,42,11
USC00361485,1971-01-31,0,5,17,-10
USC00361485,1971-02-01,0,5,6,-8
USC00361485,1971-02-02,0,5,8,-10
USC00361485,1971-02-03,0,5,29,-8
USC00361485,1971-02-04,0,6,29,15
USC00361485,1971-02-05,0,4,49,25
USC00361485,1971-02-06,0,3,39,28
USC00361485,1971-02-07,0,3,36,19
USC00361485,1971-02-08,2.5,6,35,29
USC00361485,1971-02-09,5,6,34,9
USC00361485,1971-02-10,0,7,19,0
USC00361485,1971-02-11,0,6,41,3
USC00361485,1971-02-12,0,5,44,32
USC00361485,1971-02-13,0,5,40,20
USC00361485,1971-02-14,6,8,22,8
USC00361485,1971-02-15,0,8,30,9
USC00361485,1971-02-16,0.20000000000000001,7,32,22
USC00361485,1971-02-17,0,8,39,9
USC00361485,1971-02-18,0,7,51,21
USC00361485,1971-02-19,0,6,50,32
USC00361485,1971-02-20,0,4,49,35
USC00361485,1971-02-21,0,2,37,32
USC00361485,1971-02-22,0,2,40,30
USC00361485,1971-02-23,0,2,40,29
USC00361485,1971-02-24,1,2,34,28
USC00361485,1971-02-25,0,2,47,29
USC00361485,1971-02-26,0,2,60,28
USC00361485,1971-03-04,9,9,25,12
USC00361485,1971-03-05,0,10,43,18
USC00361485,1971-03-06,0,6,45,26
USC00361485,1971-03-07,3,6,44,25
USC00361485,1971-03-08,0,5,27,18
USC00361485,1971-03-09,1,2,32,18
USC00361485,1971-03-10,0,1,42,10
USC00361485,1971-03-20,4,2,36,27
USC00361485,1971-03-21,3,5,39,26
USC00361485,1971-03-22,0,1,38,24
USC00361485,1971-03-23,0,1,31,16
USC00361485,1971-03-24,1,2,30,14
USC00361485,1971-03-25,0,1,36,6
USC00361485,1971-03-26,0,1,41,20
USC00361485,1971-03-27,0,1,49,16
USC00361485,1971-03-30,1,1,48,27
USC00361485,1971-11-25,4.5,5,31,23
USC00361485,1971-11-26,0,4,35,28
USC00361485,1971-12-01,3,3,30,16
USC00361485,1971-12-02,0,2,25,6
USC00361485,1971-12-03,0,2,27,11
USC00361485,1971-12-04,0,1,33,16
USC00361485,1971-12-05,0,1,32,21
USC00361485,1971-12-06,0,1,37,32
USC00361485,1971-12-18,2.7999999999999998,3,31,11
USC00361485,1971-12-19,0.5,2,34,16
USC00361485,1972-01-04,1,1,34,25
USC00361485,1972-01-05,0,1,33,12
USC00361485,1972-01-06,0,1,22,8
USC00361485,1972-01-07,0,1,30,16
USC00361485,1972-01-08,0,1,29,15
USC00361485,1972-01-14,0.5,1,33,21
USC00361485,1972-01-15,0,1,25,2
USC00361485,1972-01-16,0,1,3,-9
USC00361485,1972-01-17,0,1,30,0
USC00361485,1972-01-28,3,3,20,16
USC00361485,1972-01-29,0,3,20,8
USC00361485,1972-01-30,0,3,19,7
USC00361485,1972-01-31,0,3,17,2
USC00361485,1972-02-01,0,3,28,14
USC00361485,1972-02-02,0,2,33,24
USC00361485,1972-02-03,0,2,31,29
USC00361485,1972-02-04,,5,30,11
USC00361485,1972-02-05,,6,11,2
USC00361485,1972-02-06,0,6,28,4
USC00361485,1972-02-07,,9,28,3
USC00361485,1972-02-08,0,7,12,-15
USC00361485,1972-02-09,0,7,17,-8
USC00361485,1972-02-10,0,7,21,-12
USC00361485,1972-02-11,0,6,28,0
USC00361485,1972-02-12,0,6,40,7
USC00361485,1972-02-13,0,6,40,25
USC00361485,1972-02-14,,6,33,29
USC00361485,1972-02-15,0,6,39,23
USC00361485,1972-02-16,,7,33,20
USC00361485,1972-02-17,0,6,28,8
USC00361485,1972-02-18,0,6,32,24
USC00361485,1972-02-19,4,10,29,19
USC00361485,1972-02-20,2,12,19,6
USC00361485,1972-02-21,0,12,36,1
USC00361485,1972-02-22,0,12,37,15
USC00361485,1972-02-23,0,12,23,16
USC00361485,1972-02-24,2,12,34,22
USC00361485,1972-02-25,0,7,35,25
USC00361485,1972-02-26,0,7,33,23
USC00361485,1972-02-27,0,7,36,8
USC00361485,1972-02-28,0,7,39,30
USC00361485,1972-02-29,0,5,47,28
USC00361485,1972-03-01,0,5,62,29
USC00361485,1972-03-02,0,2,52,28
USC00361485,1972-03-03,2,4,28,15
USC00361485,1972-03-04,0,3,30,-4
USC00361485,1972-03-05,2,5,29,17
USC00361485,1972-03-06,0,5,24,9
USC00361485,1972-03-07,0,5,53,22
USC00361485,1972-03-08,0,1,49,16
USC00361485,1972-03-10,0.5,1,25,8
USC00361485,1972-03-11,0,1,40,10
USC00361485,1972-03-23,1,1,33,17
USC00361485,1972-03-24,1.5,3,24,17
USC00361485,1972-03-25,0,1,30,8
USC00361485,1972-11-27,0.5,1,37,30
USC00361485,1972-11-29,1.7,2,35,19
USC00361485,1972-11-30,0,1,31,20
USC00361485,1972-12-01,5,5,35,24
USC00361485,1972-12-02,2,6,42,20
USC00361485,1972-12-03,0,5,41,19
USC00361485,1972-12-04,0,2,37,31
USC00361485,1972-12-16,8,8,37,14
USC00361485,1972-12-17,0.5,8,22,12
USC00361485,1972-12-18,0.5,5,30,6
USC00361485,1972-12-19,0,5,39,22
USC00361485,1972-12-20,0,1,36,32
USC00361485,1972-12-21,0,1,43,32
USC00361485,1973-01-20,0.5,1,37,16
USC00361485,1973-02-09,0.5,1,,18
USC00361485,1973-02-10,0,1,,5
USC00361485,1973-02-15,1.3,1,,29
USC00361485,1973-02-16,0.80000000000000004,2,,1
USC00361485,1973-02-17,0,2,,-10
USC00361485,1973-02-18,0,2,,-9
USC00361485,1973-02-19,0,1,,13
USC00361485,1973-02-20,0,1,,21
USC00361485,1973-02-21,0,1,,25
USC00361485,1973-02-22,3,4,,18
USC00361485,1973-02-23,1,4,,11
USC00361485,1973-02-24,0,4,,19
USC00361485,1973-02-25,0,3,,6
USC00361485,1973-02-26,0,3,,29
USC00361485,1973-03-18,2,2,,26
USC00361485,1973-03-19,0,2,,26
USC00361485,1973-03-20,0,2,,20
USC00361485,1973-11-06,1.5,2,37,25
USC00361485,1973-12-22,,1,29,17
USC00361485,1973-12-23,,1,31,23
USC00361485,1973-12-31,,1,34,24
USC00361485,1974-01-01,0,1,32,19
USC00361485,1974-01-02,0,1,28,10
USC00361485,1974-01-03,0,1,29,21
USC00361485,1974-01-04,0,1,30,14
USC00361485,1974-01-05,0,1,35,2
USC00361485,1974-01-06,0,1,29,20
USC00361485,1974-01-07,0,1,28,19
USC00361485,1974-01-08,0,1,24,2
USC00361485,1974-01-09,3,4,34,15
USC00361485,1974-01-10,3,7,35,26
USC00361485,1974-01-11,0,5,35,24
USC00361485,1974-01-12,0.5,5,30,13
USC00361485,1974-01-13,0.5,5,24,10
USC00361485,1974-01-14,0,5,38,6
USC00361485,1974-01-15,0,5,45,36
USC00361485,1974-01-16,0,4,49,31
USC00361485,1974-01-17,0,2,45,33
USC00361485,1974-01-18,0,1,39,26
USC00361485,1974-02-07,2,2,34,23
USC00361485,1974-02-08,0,2,30,15
USC00361485,1974-02-09,0,2,29,5
USC00361485,1974-02-10,0,2,27,-2
USC00361485,1974-02-11,2,4,28,15
USC00361485,1974-02-12,1.5,5,46,18
USC00361485,1974-02-13,0,4,56,22
USC00361485,1974-02-14,0,1,38,21
USC00361485,1974-02-15,0.29999999999999999,1,36,12
USC00361485,1974-02-16,0,1,42,17
USC00361485,1974-02-17,0,1,32,21
USC00361485,1974-02-18,0,1,38,21
USC00361485,1974-02-19,0,1,42,28
USC00361485,1974-02-23,1,1,44,19
USC00361485,1974-02-25,0.80000000000000004,1,31,14
USC00361485,1974-02-26,0,1,31,9
USC00361485,1974-03-17,0.5,1,36,23
USC00361485,1974-04-09,3,3,34,27
USC00361485,1974-04-10,0,3,44,16
USC00361485,1974-12-02,1,1,37,31
USC00361485,1974-12-03,0,1,37,29
USC00361485,1974-12-04,0,1,34,24
USC00361485,1974-12-05,0,1,37,17
USC00361485,1974-12-06,0,1,43,15
USC00361485,1974-12-09,0.5,1,34,21
USC00361485,1974-12-10,1,2,29,18
USC00361485,1974-12-16,1,1,37,30
USC00361485,1974-12-17,0,1,36,30
USC00361485,1974-12-20,0.80000000000000004,1,36,15
USC00361485,1974-12-21,0,1,40,9
USC00361485,1974-12-22,1.5,3,34,26
USC00361485,1974-12-23,0.29999999999999999,3,42,22
