StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USC00361705,1970-01-01,0,4,36,22
USC00361705,1970-01-02,0,4,29,22
USC00361705,1970-01-03,4,8,30,24
USC00361705,1970-01-04,1,7,26,12
USC00361705,1970-01-05,0,6,25,10
USC00361705,1970-01-06,0,5,39,19
USC00361705,1970-01-07,3,7,34,17
USC00361705,1970-01-08,1,7,20,-5
USC00361705,1970-01-09,0,7,1,-5
USC00361705,1970-01-10,0.5,7,5,-5
USC00361705,1970-01-11,0,7,15,-5
USC00361705,1970-01-12,3.5,10,27,-2
USC00361705,1970-01-13,0.5,9,27,20
USC00361705,1970-01-14,0,9,27,19
USC00361705,1970-01-15,0,8,28,-2
USC00361705,1970-01-16,0,8,27,2
USC00361705,1970-01-17,0,7,48,2
USC00361705,1970-01-18,0,5,48,32
USC00361705,1970-01-19,0,4,34,7
USC00361705,1970-01-20,1,5,22,-5
USC00361705,1970-01-21,2,7,18,-3
USC00361705,1970-01-22,0,6,9,-4
USC00361705,1970-01-23,0,6,14,-5
USC00361705,1970-01-24,1.5,7,25,4
USC00361705,1970-01-25,1,7,45,4
USC00361705,1970-01-26,0,4,52,40
USC00361705,1970-01-27,0.5,4,41,31
USC00361705,1970-01-28,0.5,4,36,26
USC00361705,1970-01-29,0,2,58,26
USC00361705,1970-01-30,0.5,2,56,25
USC00361705,1970-01-31,0.5,1,26,21
USC00361705,1970-02-04,2,2,29,-2
USC00361705,1970-02-05,0,1,30,-2
USC00361705,1970-02-06,2,3,34,29
USC00361705,1970-02-07,0,3,43,21
USC00361705,1970-02-08,0.5,1,42,21
USC00361705,1970-02-09,0,1,39,29
USC00361705,1970-02-10,1,1,39,32
USC00361705,1970-02-11,3,3,35,25
USC00361705,1970-02-12,1,3,31,20
USC00361705,1970-02-13,2.5,4,28,17
USC00361705,1970-02-14,0.5,3,22,-2
USC00361705,1970-02-15,1.5,4,27,4
USC00361705,1970-02-16,0,3,36,17
USC00361705,1970-02-17,0,3,32,14
USC00361705,1970-02-18,0,2,47,17
USC00361705,1970-02-20,2,2,35,18
USC00361705,1970-02-21,0,1,24,14
USC00361705,1970-02-22,0,1,34,14
USC00361705,1970-03-12,3,2,44,23
USC00361705,1970-03-13,5,4,34,27
USC00361705,1970-03-14,1,4,31,22
USC00361705,1970-03-15,1,5,27,13
USC00361705,1970-03-16,0.5,4,29,14
USC00361705,1970-03-17,0,3,28,8
USC00361705,1970-03-18,6,7,46,10
USC00361705,1970-03-19,1,5,38,32
USC00361705,1970-03-20,0,3,48,33
USC00361705,1970-03-21,0,2,40,32
USC00361705,1970-03-22,0,1,39,32
