StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USW00004787,3/14/1970,0,2,25,17
USW00004787,3/15/1970,1.6,3,25,13
USW00004787,3/16/1970,0,4,23,10
USW00004787,3/17/1970,0,4,35,14
USW00004787,3/18/1970,0.9,5,34,28
USW00004787,3/19/1970,0,5,40,31
USW00004787,3/20/1970,0,3,38,31
USW00004787,3/23/1970,0.9,3,32,29
USW00004787,3/24/1970,1.6,4,34,30
USW00004787,3/25/1970,0,4,42,30
USW00004787,3/26/1970,0,1,50,29
USW00004787,3/27/1970,0,1,39,29
USW00004787,3/30/1970,0,1,37,10
USW00004787,4/3/1970,0,1,42,27
USW00004787,11/24/1970,1.6,1,22,11
USW00004787,11/25/1970,0,2,21,11
USW00004787,11/26/1970,0,2,38,21
USW00004787,12/6/1970,4,2,27,16
USW00004787,12/7/1970,0.2,5,23,11
USW00004787,12/8/1970,0,4,39,9
USW00004787,12/9/1970,0,3,44,37
USW00004787,12/14/1970,1.7,1,32,26
USW00004787,12/15/1970,0,3,28,18
USW00004787,12/16/1970,3.9,3,32,17
USW00004787,12/17/1970,0,7,34,31
USW00004787,12/18/1970,0,3,32,27
USW00004787,12/19/1970,0,3,49,27
USW00004787,12/20/1970,0,1,32,25
USW00004787,12/26/1970,2.4,2,22,12
USW00004787,12/27/1970,1.3,3,24,11
USW00004787,12/28/1970,1.5,6,20,16
USW00004787,12/29/1970,0.1,6,22,13
USW00004787,12/30/1970,0,6,24,11
USW00004787,12/31/1970,0.8,4,25,9
USW00004787,1/1/1971,0.2,5,31,20
USW00004787,1/2/1971,0,4,30,19
USW00004787,1/3/1971,0,4,37,22
USW00004787,1/4/1971,0,2,42,30
USW00004787,1/14/1971,2.6,2,35,22
USW00004787,1/15/1971,0.8,2,29,12
USW00004787,1/16/1971,0.9,3,16,10
USW00004787,1/17/1971,0.1,4,16,7
USW00004787,1/18/1971,0.7,4,16,0
USW00004787,1/19/1971,0.5,3,11,-5
USW00004787,1/20/1971,2.1,3,19,8
USW00004787,1/21/1971,0.5,5,31,10
USW00004787,1/22/1971,0,5,35,25
USW00004787,1/23/1971,1.1,6,33,20
USW00004787,1/24/1971,0.4,6,37,18
USW00004787,1/25/1971,0,6,35,29
USW00004787,1/26/1971,2.6,5,39,6
USW00004787,1/27/1971,1,8,6,-1
