StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USC00363028,1970-01-01,0,5,35,20
USC00363028,1970-01-02,0,5,29,20
USC00363028,1970-01-03,0.5,6,31,27
USC00363028,1970-01-04,0.5,6,30,7
USC00363028,1970-01-05,0,6,24,7
USC00363028,1970-01-06,0,6,35,13
USC00363028,1970-01-07,0.5,7,25,15
USC00363028,1970-01-08,0,7,26,-2
USC00363028,1970-01-09,1,8,9,-5
USC00363028,1970-01-10,0.5,8,11,-6
USC00363028,1970-01-11,1,9,22,9
USC00363028,1970-01-12,0,8,24,10
USC00363028,1970-01-13,0,7,25,19
USC00363028,1970-01-14,0,7,25,5
USC00363028,1970-01-15,0,6,17,-4
USC00363028,1970-01-16,0,6,18,-6
USC00363028,1970-01-17,0,5,46,6
USC00363028,1970-01-18,0,4,39,24
USC00363028,1970-01-19,0,4,26,5
USC00363028,1970-01-20,0.5,5,18,0
USC00363028,1970-01-21,0,5,11,-1
USC00363028,1970-01-22,0,5,16,-2
USC00363028,1970-01-23,0,6,23,-7
USC00363028,1970-01-24,0,6,28,-7
USC00363028,1970-01-25,0,4,46,25
USC00363028,1970-01-26,0,3,35,28
USC00363028,1970-01-27,0,3,35,28
USC00363028,1970-01-28,0,3,35,25
USC00363028,1970-01-29,0,1,57,28
USC00363028,1970-01-30,0.5,2,39,19
USC00363028,1970-01-31,0,2,43,17
USC00363028,1970-02-03,1,1,45,16
USC00363028,1970-02-04,4,5,17,-3
USC00363028,1970-02-05,1,6,28,-3
USC00363028,1970-02-06,0,5,35,25
USC00363028,1970-02-07,0,2,31,15
USC00363028,1970-02-10,1,1,39,33
USC00363028,1970-02-11,2,3,34,22
USC00363028,1970-02-12,0.5,4,29,11
USC00363028,1970-02-13,2,6,25,10
USC00363028,1970-02-14,0,5,19,-4
USC00363028,1970-02-15,0,5,23,-2
USC00363028,1970-02-16,0,5,31,7
USC00363028,1970-02-17,0,4,30,7
USC00363028,1970-02-18,0,3,45,9
USC00363028,1970-02-19,0,3,51,24
USC00363028,1970-02-20,0,2,27,14
USC00363028,1970-02-22,0,1,35,15
USC00363028,1970-02-27,2,2,29,1
USC00363028,1970-03-13,2,2,35,23
USC00363028,1970-03-15,0.5,1,28,20
USC00363028,1970-03-16,1,1,31,10
USC00363028,1970-03-18,1,2,40,11
USC00363028,1970-04-03,1,1,51,29
USC00363028,1970-11-24,1,1,22,15
USC00363028,1970-12-06,1,1,37,19
USC00363028,1970-12-07,0.5,2,27,19
USC00363028,1970-12-15,0,1,39,26
USC00363028,1970-12-17,0.5,1,37,28
USC00363028,1970-12-26,1.5,2,30,18
USC00363028,1970-12-27,0.5,4,28,18
USC00363028,1970-12-28,1.5,3,25,16
USC00363028,1970-12-29,1,5,24,14
USC00363028,1970-12-30,0,5,28,17
USC00363028,1970-12-31,0,3,26,10
USC00363028,1971-01-01,0,3,30,14
USC00363028,1971-01-02,0,2,34,22
USC00363028,1971-01-03,0,1,36,21
USC00363028,1971-01-16,0.5,1,29,12
USC00363028,1971-01-17,1.5,2,21,11
USC00363028,1971-01-18,0,2,22,3
USC00363028,1971-01-19,0,3,23,-4
USC00363028,1971-01-20,1.5,4,18,-2
USC00363028,1971-01-21,0,2,26,11
USC00363028,1971-01-22,1.5,4,35,25
USC00363028,1971-01-23,0,2,38,21
USC00363028,1971-01-24,0,1,33,17
USC00363028,1971-01-25,0,1,41,17
USC00363028,1971-01-27,11,12,40,9
USC00363028,1971-01-28,0.5,13,16,4
USC00363028,1971-01-29,0,10,15,5
USC00363028,1971-01-30,1,11,39,7
USC00363028,1971-01-31,1,12,22,-4
USC00363028,1971-02-01,0,10,9,-4
USC00363028,1971-02-02,0,10,7,-5
USC00363028,1971-02-03,0,9,11,-5
USC00363028,1971-02-04,0,9,30,9
USC00363028,1971-02-05,0,7,40,20
USC00363028,1971-02-06,0,6,48,29
USC00363028,1971-02-07,0,4,38,18
USC00363028,1971-02-08,1.5,8,36,10
USC00363028,1971-02-09,7,14,34,14
USC00363028,1971-02-10,0,11,19,2
USC00363028,1971-02-11,0,11,18,4
USC00363028,1971-02-12,0,6,42,17
USC00363028,1971-02-13,3,6,43,30
USC00363028,1971-02-14,4,9,30,10
USC00363028,1971-02-15,0.5,7,20,12
USC00363028,1971-02-16,0,6,33,12
USC00363028,1971-02-17,0,4,32,18
USC00363028,1971-02-18,0,4,39,25
USC00363028,1971-02-19,0,4,50,26
USC00363028,1971-02-20,0,2,50,29
USC00363028,1971-02-21,0,2,48,33
USC00363028,1971-02-24,0.5,5,36,31
USC00363028,1971-02-25,0,15,34,30
USC00363028,1971-03-04,10,10,27,15
USC00363028,1971-03-05,0,9,26,11
USC00363028,1971-03-06,0,5,42,23
USC00363028,1971-03-08,3,3,33,18
USC00363028,1971-03-09,2,5,24,18
USC00363028,1971-03-10,0,3,33,12
USC00363028,1971-03-11,0,2,43,18
USC00363028,1971-03-12,0,1,33,24
USC00363028,1971-03-19,1,1,40,16
USC00363028,1971-03-20,3,3,41,29
USC00363028,1971-03-21,4,7,33,28
USC00363028,1971-03-22,0,2,40,28
USC00363028,1971-03-24,2,2,30,18
USC00363028,1971-03-25,0,2,30,10
USC00363028,1971-03-30,1,1,45,28
USC00363028,1971-11-08,0.5,1,33,23
USC00363028,1971-11-22,0.5,1,41,25
USC00363028,1971-11-25,3,3,35,27
USC00363028,1971-11-26,0,2,36,31
USC00363028,1971-12-01,5,5,33,25
USC00363028,1971-12-02,0,4,31,6
USC00363028,1971-12-03,0,2,30,7
USC00363028,1971-12-04,0,1,34,24
USC00363028,1971-12-18,4,4,38,18
USC00363028,1971-12-19,0.5,5,27,23
USC00363028,1971-12-20,0,2,40,23
USC00363028,1972-01-05,2,2,38,23
USC00363028,1972-01-06,0,1,25,10
USC00363028,1972-01-07,0,1,25,15
