StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USC00364836,12/5/1970,1.5,2,39,22
USC00364836,12/6/1970,1,2,35,11
USC00364836,12/7/1970,2,3,17,11
USC00364836,12/8/1970,3,5,20,10
USC00364836,12/9/1970,0,3,42,17
USC00364836,12/14/1970,2.7,3,32,23
USC00364836,12/15/1970,0,2,31,16
USC00364836,12/16/1970,0,2,30,15
USC00364836,12/17/1970,1.5,4,35,23
USC00364836,12/18/1970,0,3,36,22
USC00364836,12/19/1970,0,2,45,26
USC00364836,12/22/1970,4.5,5,31,25
USC00364836,12/23/1970,0,2,44,29
USC00364836,12/24/1970,0,1,46,15
USC00364836,12/25/1970,0,1,20,14
USC00364836,12/27/1970,7.5,8,32,5
USC00364836,12/28/1970,1,9,20,11
USC00364836,12/29/1970,0,9,15,10
USC00364836,12/30/1970,0.6,9,21,12
USC00364836,12/31/1970,0,8,19,10
USC00364836,2/1/1971,0,17,4,-9
USC00364836,2/2/1971,0,17,0,-11
USC00364836,2/3/1971,0,15,10,-11
USC00364836,2/4/1971,0,13,20,7
USC00364836,2/5/1971,1,14,31,13
USC00364836,2/6/1971,0,12,46,21
USC00364836,2/7/1971,0,12,35,21
USC00364836,2/8/1971,3,15,29,23
USC00364836,2/9/1971,9,24,29,7
USC00364836,2/10/1971,0,24,8,-3
USC00364836,2/11/1971,0,22,18,-1
USC00364836,2/12/1971,0,19,40,5
USC00364836,2/13/1971,0,13,50,33
USC00364836,2/14/1971,12,25,37,2
USC00364836,2/15/1971,0,24,15,2
USC00364836,2/16/1971,0,23,22,14
USC00364836,2/17/1971,0,23,26,15
USC00364836,2/18/1971,0,20,41,22
USC00364836,2/19/1971,0,18,46,30
USC00364836,2/20/1971,0,16,50,35
USC00364836,2/21/1971,0,12,52,31
USC00364836,2/22/1971,0,12,32,30
USC00364836,2/23/1971,0,11,39,29
USC00364836,2/24/1971,3,14,30,23
USC00364836,2/25/1971,0,14,27,24
USC00364836,2/26/1971,0,12,43,25
USC00364836,2/27/1971,0,9,52,38
USC00364836,2/28/1971,0,7,50,30
USC00364836,3/1/1971,0,6,43,24
USC00364836,3/2/1971,0,5,47,24
USC00364836,3/3/1971,1,6,37,25
USC00364836,3/4/1971,14,20,27,10
USC00364836,3/5/1971,0,20,20,9
USC00364836,3/6/1971,0,16,39,19
USC00364836,3/7/1971,1,13,41,23
USC00364836,3/8/1971,2,15,27,14
USC00364836,3/9/1971,4,19,17,10
USC00364836,3/10/1971,0,18,26,10
USC00364836,3/11/1971,1.5,19,37,24
USC00364836,3/12/1971,0,19,34,20
USC00364836,3/13/1971,0,15,45,31
USC00364836,3/14/1971,0,11,52,35
USC00364836,3/15/1971,0,7,58,41
USC00364836,3/16/1971,0,4,62,36
USC00364836,3/17/1971,3,7,40,13
USC00364836,3/18/1971,0,5,25,14
USC00364836,3/19/1971,0,5,38,14
USC00364836,3/20/1971,4,9,34,22
USC00364836,3/21/1971,5,14,26,20
USC00364836,3/22/1971,0,11,40,20
USC00364836,3/23/1971,1,12,35,16
USC00364836,3/24/1971,6,18,23,15
USC00364836,3/25/1971,0,18,24,6
USC00364836,3/26/1971,0,14,31,9
USC00364836,3/27/1971,0,13,33,17
USC00364836,3/28/1971,0,13,,
USC00364836,3/29/1971,0,8,54,23
USC00364836,3/30/1971,0.5,8,39,21
USC00364836,3/31/1971,0,7,32,15
USC00364836,4/1/1971,0,5,,24
USC00364836,4/2/1971,0,3,60,38
USC00364836,4/3/1971,0,3,,28
USC00364836,4/6/1971,1,1,44,26
USC00364836,11/7/1971,0.5,1,52,18
USC00364836,11/10/1971,1,1,37,21
USC00364836,11/11/1971,0,1,30,27
USC00364836,11/22/1971,10,10,29,20
USC00364836,11/23/1971,0,8,23,11
USC00364836,11/24/1971,0,8,26,9
USC00364836,11/25/1971,8,15,28,19
USC00364836,11/26/1971,0,13,26,23
USC00364836,11/27/1971,0.5,11,34,23
USC00364836,11/28/1971,0,10,35,28
USC00364836,11/29/1971,1,9,30,26
USC00364836,11/30/1971,1,10,39,28
USC00364836,12/1/1971,1,11,29,16
USC00364836,12/2/1971,2,12,23,16
USC00364836,12/3/1971,0,11,23,9
USC00364836,12/4/1971,0,10,25,11
USC00364836,12/5/1971,0,10,33,13
USC00364836,12/6/1971,0,10,33,21
USC00364836,12/7/1971,0,7,49,32
USC00364836,12/8/1971,0,3,51,41
USC00364836,12/18/1971,4,4,31,9
USC00364836,12/19/1971,1,5,24,10
USC00364836,12/20/1971,0,1,40,20
USC00364836,1/2/1972,0.5,1,39,27
USC00364836,1/3/1972,0.5,1,39,23
USC00364836,1/5/1972,3,3,42,22
USC00364836,1/6/1972,1.5,5,23,12
USC00364836,1/7/1972,0,4,24,12
USC00364836,1/8/1972,0,4,25,18
USC00364836,1/9/1972,1,4,36,18
USC00364836,1/14/1972,2,2,64,12
USC00364836,1/15/1972,0,2,24,4
USC00364836,1/16/1972,1,3,5,-17
USC00364836,1/17/1972,0,3,18,-16
USC00364836,1/18/1972,0,2,37,18
USC00364836,1/28/1972,4,4,25,6
USC00364836,1/29/1972,0,4,22,10
USC00364836,1/31/1972,1,5,19,1
USC00364836,2/1/1972,0,4,21,0
USC00364836,2/2/1972,0,4,30,20
USC00364836,2/3/1972,0.5,4,28,22
USC00364836,2/4/1972,14,18,31,7
USC00364836,2/5/1972,0,18,9,-4
USC00364836,2/6/1972,1,16,28,-2
USC00364836,2/7/1972,4,20,30,10
USC00364836,2/8/1972,0,18,12,-4
USC00364836,2/9/1972,0,18,14,-1
USC00364836,2/10/1972,0,17,21,0
USC00364836,2/11/1972,0,16,25,-1
USC00364836,2/12/1972,0,15,33,10
USC00364836,2/13/1972,3,18,43,28
USC00364836,2/14/1972,6,24,32,25
USC00364836,2/15/1972,0,22,43,22
USC00364836,2/16/1972,0,21,44,20
USC00364836,2/17/1972,0,21,27,15
USC00364836,2/18/1972,0.5,22,24,17
USC00364836,2/19/1972,9.5,30,28,18
USC00364836,2/20/1972,1,31,19,6
USC00364836,2/21/1972,0,31,20,3
USC00364836,2/22/1972,0,25,42,17
USC00364836,2/23/1972,0,24,18,0
USC00364836,2/24/1972,1,25,37,4
USC00364836,2/25/1972,0.7,24,33,25
USC00364836,2/26/1972,0,22,41,25
USC00364836,2/27/1972,3,25,33,12
USC00364836,2/28/1972,0,23,40,22
USC00364836,2/29/1972,0,19,51,31
USC00364836,3/1/1972,0,15,58,44
USC00364836,3/2/1972,0,10,65,50
USC00364836,3/3/1972,1,6,58,15
USC00364836,3/4/1972,2,8,27,6
USC00364836,3/5/1972,2,10,31,9
USC00364836,3/6/1972,2,12,21,5
USC00364836,3/7/1972,0,11,40,6
USC00364836,3/8/1972,0,6,58,27
USC00364836,3/9/1972,6,12,28,6
USC00364836,3/10/1972,3,15,23,6
USC00364836,3/11/1972,0,12,25,10
USC00364836,3/12/1972,0,9,51,15
USC00364836,3/13/1972,0,3,53,44
USC00364836,3/14/1972,0,2,,31
USC00364836,3/15/1972,2,4,,24
USC00364836,3/16/1972,0,2,,24
USC00364836,3/17/1972,0,1,47,30
USC00364836,3/18/1972,1,2,47,25
USC00364836,3/19/1972,0,2,40,20
USC00364836,3/20/1972,0,2,39,21
USC00364836,3/21/1972,0,1,50,24
USC00364836,3/22/1972,0,1,62,33
USC00364836,3/23/1972,1,2,48,15
USC00364836,3/24/1972,3,5,25,10
USC00364836,3/25/1972,0,5,31,8
USC00364836,3/26/1972,0,5,29,15
USC00364836,3/27/1972,0,4,43,16
USC00364836,3/28/1972,0,3,40,20
USC00364836,3/29/1972,0,2,41,21
USC00364836,3/30/1972,0,1,44,26
USC00364836,3/31/1972,0,1,40,28
USC00364836,4/1/1972,0,1,49,29
USC00364836,4/2/1972,2,2,52,25
USC00364836,4/3/1972,0,2,35,24
USC00364836,4/4/1972,0,1,44,24
USC00364836,4/5/1972,0,1,44,25
USC00364836,4/8/1972,2.5,3,36,12
USC00364836,4/9/1972,0,2,25,12
USC00364836,4/10/1972,0,1,35,16
USC00364836,4/11/1972,0,1,51,33
USC00364836,10/19/1972,5,5,33,26
USC00364836,10/20/1972,0,4,32,17
USC00364836,10/21/1972,0,2,41,17
USC00364836,11/19/1972,2,2,,
USC00364836,11/20/1972,0,1,37,25
USC00364836,11/21/1972,0.5,3,33,22
USC00364836,11/22/1972,1,3,28,23
USC00364836,11/23/1972,2,5,27,17
USC00364836,11/24/1972,0,5,26,20
USC00364836,11/25/1972,0,4,,
USC00364836,11/26/1972,0.3,3,34,19
USC00364836,11/27/1972,1,4,33,26
USC00364836,11/28/1972,1.5,5,33,27
USC00364836,11/29/1972,6,10,32,20
USC00364836,11/30/1972,0,8,31,19
USC00364836,12/1/1972,8,14,33,21
USC00364836,12/2/1972,4,15,35,24
USC00364836,12/3/1972,0,8,45,26
USC00364836,12/4/1972,0,5,40,34
USC00364836,12/5/1972,0,2,52,37
USC00364836,12/16/1972,0.5,1,33,8
USC00364836,12/17/1972,5,6,9,4
USC00364836,12/18/1972,0,6,22,6
USC00364836,12/19/1972,0,4,34,19
USC00364836,12/20/1972,0,2,41,31
USC00364836,12/27/1972,2,2,36,22
USC00364836,12/28/1972,0,1,27,20
USC00364836,12/29/1972,0,1,27,21
USC00364836,12/30/1972,0,1,33,20
USC00364836,1/7/1973,1,1,,
USC00364836,1/8/1973,0,1,,2
USC00364836,1/9/1973,0,1,16,0
USC00364836,1/10/1973,1,2,17,-1
USC00364836,1/11/1973,0,2,16,4
USC00364836,1/12/1973,0.5,3,20,3
USC00364836,1/13/1973,0,2,16,2
USC00364836,1/14/1973,0,1,33,12
USC00364836,1/15/1973,0.5,2,30,24
USC00364836,1/16/1973,0.5,2,30,22
USC00364836,1/17/1973,0,1,43,22
USC00364836,1/20/1973,0.5,1,45,23
USC00364836,1/21/1973,1.5,2,24,9
USC00364836,1/22/1973,0,1,36,13
USC00364836,1/24/1973,1.5,2,31,18
USC00364836,1/25/1973,1,3,25,18
USC00364836,1/26/1973,0,1,40,23
USC00364836,1/29/1973,3,3,37,14
USC00364836,1/30/1973,1,5,,
USC00364836,2/24/1973,0,12,28,17
USC00364836,2/25/1973,0,12,42,15
USC00364836,2/26/1973,0.5,11,43,15
USC00364836,2/27/1973,0.5,10,35,20
USC00364836,2/28/1973,0,10,41,18
USC00364836,3/1/1973,0,7,50,21
USC00364836,3/2/1973,0,6,55,29
USC00364836,3/17/1973,1.3,1,56,18
USC00364836,3/18/1973,2.7,4,25,20
