StationCode,ObDate,Snowfall,Snowdepth,TempMax,TempMin
USC00366233,1/1/1970,0,3,31,24
USC00366233,1/2/1970,0.2,3,31,23
USC00366233,1/3/1970,0.3,3,30,19
USC00366233,1/4/1970,0.6,3,24,10
USC00366233,1/5/1970,0,3,34,10
USC00366233,1/6/1970,0,3,33,20
USC00366233,1/7/1970,0.6,3,21,10
USC00366233,1/8/1970,0.1,3,12,-4
USC00366233,1/9/1970,0.2,3,8,-5
USC00366233,1/10/1970,0,3,21,3
USC00366233,1/11/1970,0,3,24,3
USC00366233,1/12/1970,1.4,5,28,19
USC00366233,1/13/1970,0,5,26,16
USC00366233,1/14/1970,0.5,6,24,9
USC00366233,1/15/1970,0,6,31,-6
USC00366233,1/16/1970,0,5,46,6
USC00366233,1/17/1970,0.4,3,43,35
USC00366233,1/18/1970,0,3,38,19
USC00366233,1/19/1970,0,3,21,0
USC00366233,1/20/1970,0.6,4,17,1
USC00366233,1/21/1970,0.4,4,13,0
USC00366233,1/22/1970,0,4,16,-6
USC00366233,1/23/1970,0,4,23,6
USC00366233,1/24/1970,0.3,4,22,-11
USC00366233,1/25/1970,0.1,3,44,18
USC00366233,1/26/1970,0,1,46,31
USC00366233,1/27/1970,0.5,1,37,30
USC00366233,1/28/1970,0.6,1,49,28
USC00366233,2/3/1970,1,1,44,10
USC00366233,2/4/1970,1.1,3,14,-8
USC00366233,2/5/1970,0,2,37,9
USC00366233,2/6/1970,0,1,37,31
USC00366233,2/11/1970,4,3,33,25
USC00366233,2/12/1970,0.1,3,30,11
USC00366233,2/13/1970,0.3,2,25,8
USC00366233,2/14/1970,0,2,24,-3
USC00366233,2/15/1970,0.1,3,31,19
USC00366233,2/16/1970,1.3,3,30,1
USC00366233,2/17/1970,0,2,44,4
USC00366233,2/18/1970,0,1,51,25
USC00366233,2/27/1970,1,1,38,25
USC00366233,3/13/1970,1.5,2,35,22
USC00366233,3/14/1970,0,1,33,22
USC00366233,3/15/1970,1,2,30,16
USC00366233,3/16/1970,1,2,29,6
USC00366233,3/17/1970,0,1,39,12
USC00366233,3/18/1970,1.6,3,41,30
USC00366233,12/7/1970,1.5,2,31,15
USC00366233,12/8/1970,0,1,45,14
USC00366233,12/26/1970,1,1,31,14
USC00366233,12/27/1970,1,2,29,15
USC00366233,12/28/1970,0.5,2,26,11
USC00366233,12/29/1970,0,2,30,15
USC00366233,12/30/1970,0,2,29,10
USC00366233,12/31/1970,0,1,29,14
USC00366233,1/1/1971,0.1,1,35,18
USC00366233,1/17/1971,0.5,1,24,11
USC00366233,1/18/1971,0,1,23,-1
USC00366233,1/19/1971,1,1,20,-7
USC00366233,1/20/1971,0.5,2,24,10
USC00366233,1/21/1971,0,1,35,13
USC00366233,1/22/1971,0.5,2,39,19
USC00366233,1/27/1971,1.5,2,19,8
USC00366233,1/28/1971,0,2,15,4
USC00366233,1/29/1971,0,1,21,2
USC00366233,1/30/1971,0.5,1,46,14
USC00366233,1/31/1971,0,1,18,-4
USC00366233,2/1/1971,0,1,8,-6
USC00366233,2/2/1971,0,1,12,-6
USC00366233,2/3/1971,0,1,33,-1
USC00366233,2/4/1971,0.2,1,33,20
USC00366233,2/8/1971,1.5,2,33,26
USC00366233,2/9/1971,7.5,9,27,8
USC00366233,2/10/1971,0,9,21,1
USC00366233,2/11/1971,0,9,43,10
USC00366233,2/12/1971,0,5,44,39
USC00366233,2/13/1971,3.5,6,40,13
USC00366233,2/14/1971,1.5,6,22,10
USC00366233,2/15/1971,0,4,33,16
USC00366233,2/16/1971,0,4,37,25
USC00366233,2/17/1971,0,4,41,20
USC00366233,2/18/1971,0,4,52,23
USC00366233,2/19/1971,0,2,52,32
USC00366233,2/24/1971,0.5,1,34,29
USC00366233,3/4/1971,7,7,30,15
USC00366233,3/5/1971,0,3,45,20
USC00366233,3/8/1971,,2,29,19
USC00366233,3/9/1971,0.5,1,33,13
USC00366233,3/17/1971,0.5,1,35,22
USC00366233,3/23/1971,0.5,1,35,19
USC00366233,3/24/1971,1,1,33,19
USC00366233,11/7/1971,1,1,47,22
USC00366233,11/22/1971,10,10,33,25
USC00366233,11/23/1971,1,7,32,10
USC00366233,11/24/1971,0,3,35,25
USC00366233,11/25/1971,3,5,37,28
USC00366233,11/26/1971,0,3,43,29
USC00366233,11/27/1971,0,2,39,33
USC00366233,12/18/1971,2,2,42,17
USC00366233,12/19/1971,0,1,40,21
USC00366233,1/5/1972,1,1,38,21
USC00366233,1/28/1972,2,2,26,16
USC00366233,1/29/1972,0,2,22,-1
USC00366233,1/30/1972,0,1,26,7
USC00366233,1/31/1972,0,1,24,6
USC00366233,2/4/1972,1,1,34,13
USC00366233,2/5/1972,0,1,18,4
USC00366233,2/6/1972,2,3,35,14
USC00366233,2/7/1972,3,5,34,2
USC00366233,2/8/1972,0,4,20,-4
USC00366233,2/9/1972,0,3,21,-2
USC00366233,2/10/1972,0,3,24,-10
USC00366233,2/11/1972,0,1,33,4
USC00366233,2/12/1972,0,1,44,15
USC00366233,2/13/1972,0.5,2,42,29
USC00366233,2/14/1972,0,1,38,29
USC00366233,2/16/1972,0.5,1,36,16
USC00366233,2/19/1972,4,4,33,22
USC00366233,2/20/1972,0.5,4,23,11
USC00366233,2/21/1972,0,3,41,8
USC00366233,2/24/1972,1.5,1,38,22
USC00366233,3/3/1972,5,5,26,17
USC00366233,3/4/1972,0,4,33,1
USC00366233,3/5/1972,1,5,34,19
USC00366233,3/6/1972,0,5,31,8
USC00366233,3/7/1972,0,2,57,25
USC00366233,3/9/1972,0.3,1,28,10
USC00366233,3/10/1972,0.5,1,30,8
USC00366233,3/23/1972,1,1,38,24
USC00366233,3/24/1972,0,1,31,20
USC00366233,12/1/1972,1,1,36,27
USC00366233,12/2/1972,1,1,48,22
USC00366233,12/17/1972,0.7,1,23,15
USC00366233,12/18/1972,0,1,33,11
USC00366233,12/19/1972,0,1,39,27
USC00366233,1/29/1973,1,1,40,16
USC00366233,1/30/1973,0,1,26,7
USC00366233,2/9/1973,1.5,2,26,13
USC00366233,2/10/1973,0,1,25,6
USC00366233,2/11/1973,0,1,35,1
USC00366233,2/12/1973,0,1,34,0
USC00366233,2/16/1973,3,3,34,7
USC00366233,2/17/1973,0,2,18,-10
USC00366233,2/18/1973,0,1,33,-2
USC00366233,2/22/1973,1,1,31,18
USC00366233,2/23/1973,0.5,1,32,18
USC00366233,2/24/1973,0.2,1,34,20
USC00366233,3/18/1973,7,7,31,25
USC00366233,3/19/1973,1,7,36,28
USC00366233,3/20/1973,0,2,39,20
USC00366233,4/11/1973,1.5,1,42,26
USC00366233,11/10/1973,1.5,1,34,26
USC00366233,12/22/1973,0.3,1,29,19
USC00366233,1/1/1974,0,2,32,21
USC00366233,1/2/1974,0,2,25,8
USC00366233,1/3/1974,0,2,30,22
USC00366233,1/4/1974,0,2,30,23
USC00366233,1/5/1974,0,2,33,5
USC00366233,1/6/1974,0,2,30,21
USC00366233,1/7/1974,0,1,29,23
USC00366233,1/8/1974,0,1,26,4
USC00366233,1/9/1974,2,3,36,20
USC00366233,1/10/1974,3,5,33,26
USC00366233,1/11/1974,0,3,33,28
USC00366233,1/12/1974,0.1,2,28,17
USC00366233,1/13/1974,0.2,2,22,-1
USC00366233,1/14/1974,0,2,37,12
USC00366233,1/15/1974,0,1,47,35
USC00366233,2/7/1974,1.5,2,38,21
USC00366233,2/8/1974,0,1,28,16
USC00366233,2/9/1974,0,1,28,11
USC00366233,2/10/1974,0,1,28,8
USC00366233,2/11/1974,2,3,30,17
USC00366233,2/12/1974,0,1,48,22
USC00366233,2/25/1974,2,2,33,14
USC00366233,2/26/1974,0,2,32,6
USC00366233,2/27/1974,0,1,50,15
USC00366233,3/22/1974,1.5,1,45,23
USC00366233,3/24/1974,4,4,49,20
USC00366233,4/9/1974,3,3,35,26
USC00366233,11/26/1974,0.5,1,33,17
USC00366233,12/1/1974,2,1,39,27
USC00366233,12/2/1974,5,5,38,30
USC00366233,12/3/1974,1,3,35,28
USC00366233,12/4/1974,0.6,3,35,28
USC00366233,12/5/1974,0,2,34,15
USC00366233,12/6/1974,0,2,41,13
USC00366233,12/7/1974,0,2,44,21
USC00366233,12/19/1974,0.7,1,38,24
USC00366233,12/20/1974,0.5,5,37,15
USC00366233,12/22/1974,0.8,1,36,31
USC00366233,1/19/1975,1,1,40,31
USC00366233,1/20/1975,1,1,31,11
USC00366233,1/21/1975,0,5,35,7
USC00366233,2/5/1975,0.5,1,39,27
