ObDate,Snowfall,Snowdepth,TempMax,TempMin
1970-01-01,0,8,35,12
1970-01-02,0.5,9,28,12
1970-01-03,0,9,28,19
1970-01-04,2,10,24,5
1970-01-05,0,10,22,5
1970-01-06,0,9,28,15
1970-01-07,1,9,28,10
1970-01-08,0,8,20,-7
1970-01-09,0.5,13,6,-10
1970-01-10,0.5,9,10,-10
1970-01-11,0,9,18,5
1970-01-12,2,11,21,5
1970-01-13,0.5,11,25,15
1970-01-14,1,11,25,-5
1970-01-15,0,11,18,-18
1970-01-16,0,11,22,-18
1970-01-17,0,9,42,-7
1970-01-18,0,8,38,20
1970-01-19,0,8,25,-7
1970-01-20,0.5,9,15,-10
1970-01-21,1.5,10,14,-10
1970-01-22,0,10,9,-17
1970-01-23,0,10,15,-16
1970-01-24,1,10,21,-16
1970-01-25,0,10,27,-15
1970-01-26,0,6,45,21
1970-01-27,0,6,33,21
1970-01-28,1,6,35,20
1970-01-29,0,4,53,23
1970-01-30,0.5,4,42,15
1970-01-31,0,4,23,12
1970-02-01,0,4,38,15
1970-02-02,0,3,47,27
1970-02-03,1,3,44,13
1970-02-04,4,7,13,-11
1970-02-05,1.5,8,25,-10
1970-02-06,0,8,34,20
1970-02-07,0,7,37,4
1970-02-08,0.5,6,42,3
1970-02-09,0.5,6,36,26
1970-02-10,1.5,7,36,28
1970-02-11,4,11,34,24
1970-02-12,0,9,34,12
1970-02-13,5,14,24,7
1970-02-14,0,11,15,-16
1970-02-15,0,11,22,-13
1970-02-16,2.5,11,31,0
1970-02-17,0,10,32,-5
1970-02-18,0,8,45,-4
1970-02-19,0,8,51,15
1970-02-20,1.5,10,27,9
1970-02-21,0,8,20,7
1970-02-22,0,8,26,8
1970-02-23,0,4,53,12
1970-02-24,0,3,37,9
1970-02-25,0,2,47,9
1970-02-26,0,5,33,-5
1970-02-27,1,6,26,-5
1970-02-28,1,6,35,8
1970-03-01,0,5,31,5
1970-03-02,0,4,45,3
1970-03-03,0,3,44,32
1970-03-04,0,2,40,30
1970-03-13,2,2,35,16
1970-03-15,1,1,28,12
1970-03-16,0.5,1,30,-1
1970-03-18,1.5,2,40,10
1970-03-23,1,1,38,28
1970-03-24,3,3,35,25
1970-03-25,0,2,36,27
1970-04-03,4,4,51,24
1970-11-24,1.5,2,22,15
1970-11-25,0,2,25,14
1970-11-26,0,2,28,14
1970-12-06,0.5,1,35,18
1970-12-07,5.5,6,24,16
1970-12-08,0,4,27,9
1970-12-14,1,1,33,28
1970-12-15,1,1,36,25
1970-12-16,0,1,31,18
1970-12-17,2,2,36,26
1970-12-18,0,1,36,32
1970-12-19,0,1,35,30
1970-12-26,1,1,30,18
1970-12-27,3,4,23,15
1970-12-28,2,6,26,18
1970-12-29,1,5,25,17
1970-12-30,0,4,26,6
1970-12-31,0,3,26,5
1971-01-01,0,2,32,8
1971-01-02,0,2,34,15
1971-01-03,0,2,34,22
1971-01-04,0,1,39,24
1971-01-14,1,1,32,15
1971-01-15,0,1,35,25
1971-01-16,0.5,1,27,13
1971-01-17,1,2,19,8
1971-01-18,0,2,22,4
1971-01-19,1,2,20,-10
1971-01-20,3,5,16,-7
1971-01-21,0.5,3,24,3
1971-01-22,1,4,33,21
1971-01-23,1,4,39,26
1971-01-24,0,3,31,9
1971-01-25,0,3,40,10
1971-01-26,1,3,40,25
1971-01-27,3,4,40,8
1971-01-28,0.5,5,8,2
1971-01-29,0,5,13,4
1971-01-30,5,9,28,8
1971-01-31,0.5,9,18,-6
1971-02-01,0,9,5,-7
1971-02-02,0,9,4,-7
1971-02-03,0,9,7,-10
1971-02-04,0,9,26,2
1971-02-05,0,8,37,18
1971-02-06,0,6,47,28
1971-02-07,0,5,36,15
1971-02-08,3,8,30,18
1971-02-09,7,15,34,14
1971-02-10,0,15,18,1
1971-02-11,0,15,17,2
1971-02-12,0,10,40,7
1971-02-13,3.5,12,43,32
1971-02-14,6,18,33,8
1971-02-15,0,18,18,12
1971-02-16,0.5,17,28,18
1971-02-17,0,17,31,12
1971-02-18,0,16,37,18
1971-02-19,0,13,49,23
1971-02-20,0,10,48,33
1971-02-21,0,9,49,32
1971-02-22,0,8,34,31
1971-02-23,0,10,40,33
1971-02-24,0,9,35,30
1971-02-25,0,9,32,30
1971-02-26,0,7,45,27
1971-02-27,0,3,56,32
1971-03-03,0.5,1,35,24
1971-03-04,10,10,26,15
1971-03-05,0,10,24,14
1971-03-06,0,7,41,20
1971-03-07,0,4,44,27
1971-03-08,11,15,31,18
1971-03-09,3,15,22,17
1971-03-10,0,10,30,5
1971-03-11,0,6,41,11
1971-03-12,0,6,32,21
1971-03-13,0,5,40,22
1971-03-14,0,3,45,26
1971-03-19,0.5,1,39,18
1971-03-20,7,5,38,29
1971-03-21,1,6,32,27
1971-03-22,0,4,38,26
1971-03-23,0,3,37,20
1971-03-24,3,6,30,15
1971-03-25,0.5,6,29,1
1971-03-26,0,4,35,5
1971-03-27,0,2,42,14
1971-03-30,1.5,2,42,28
1971-11-08,1,1,30,23
1971-11-21,0.5,5,40,32
1971-11-25,4,4,33,28
1971-11-26,0,3,35,30
1971-11-27,0,1,39,31
1971-12-01,4.5,5,33,25
1971-12-02,0,2,30,6
1971-12-03,0,1,30,6
1971-12-04,0,1,33,19
1971-12-18,3,3,34,18
1971-12-19,1,3,25,19
1971-12-20,0.5,2,38,22
1972-01-02,1.5,2,40,28
1972-01-05,1.5,2,37,22
1972-01-06,0,1,24,15
1972-01-07,0,1,27,15
