ObDate,Snowfall,Snowdepth,TempMax,TempMin
1970-01-03 00:00:00.0000000,1.8,2,32,25
1970-01-04 00:00:00.0000000,0.5,2,29,10
1970-01-05 00:00:00.0000000,0,1,25,9
1970-01-07 00:00:00.0000000,3.7000000000000002,4,30,16
1970-01-08 00:00:00.0000000,0.5,4,21,-3
1970-01-09 00:00:00.0000000,0.20000000000000001,4,3,-4
1970-01-10 00:00:00.0000000,0.29999999999999999,4,7,-2
1970-01-11 00:00:00.0000000,0,4,17,-6
1970-01-12 00:00:00.0000000,3.5,7,27,1
1970-01-13 00:00:00.0000000,0,6,29,20
1970-01-14 00:00:00.0000000,0,5,28,11
1970-01-15 00:00:00.0000000,0,5,30,2
1970-01-16 00:00:00.0000000,0,4,38,1
1970-01-17 00:00:00.0000000,0,3,51,6
1970-01-18 00:00:00.0000000,0,2,48,33
1970-01-19 00:00:00.0000000,0.29999999999999999,2,33,7
1970-01-20 00:00:00.0000000,0.69999999999999996,2,23,-1
1970-01-21 00:00:00.0000000,1,3,20,-1
1970-01-22 00:00:00.0000000,0,3,13,-8
1970-01-23 00:00:00.0000000,0,2,20,-8
1970-01-24 00:00:00.0000000,0.5,3,26,-6
1970-01-25 00:00:00.0000000,0.29999999999999999,2,43,-5
1970-02-03 00:00:00.0000000,0.5,1,51,22
1970-02-04 00:00:00.0000000,4,3,34,-4
1970-02-05 00:00:00.0000000,0.80000000000000004,4,28,-4
1970-02-06 00:00:00.0000000,0.5,3,37,28
1970-02-12 00:00:00.0000000,0.5,1,32,20
1970-02-13 00:00:00.0000000,0.29999999999999999,1,31,19
1970-02-15 00:00:00.0000000,0.5,1,31,15
1970-02-16 00:00:00.0000000,0,1,35,16
1970-03-13 00:00:00.0000000,2,2,33,27
1970-03-14 00:00:00.0000000,0.5,1,36,24
1970-03-15 00:00:00.0000000,0.80000000000000004,1,29,13
1970-03-16 00:00:00.0000000,0.20000000000000001,1,31,9
1970-03-29 00:00:00.0000000,2,2,58,27
1970-03-30 00:00:00.0000000,6,6,34,6
1970-03-31 00:00:00.0000000,0,1,45,11
1970-12-26 00:00:00.0000000,1,1,38,16
1970-12-27 00:00:00.0000000,0,1,26,15
1970-12-28 00:00:00.0000000,0.20000000000000001,1,28,19
1970-12-29 00:00:00.0000000,0,1,27,12
1970-12-30 00:00:00.0000000,0,1,31,13
1970-12-31 00:00:00.0000000,0,1,29,16
1971-01-01 00:00:00.0000000,3.5,4,29,21
1971-01-02 00:00:00.0000000,0,3,32,12
1971-01-03 00:00:00.0000000,0,2,39,16
1971-01-04 00:00:00.0000000,0,1,45,18
1971-01-17 00:00:00.0000000,0.69999999999999996,1,20,17
1971-01-18 00:00:00.0000000,0.29999999999999999,1,26,10
1971-01-19 00:00:00.0000000,0.10000000000000001,1,23,4
1971-01-20 00:00:00.0000000,0,1,17,1
1971-01-21 00:00:00.0000000,0,1,28,8
1971-01-27 00:00:00.0000000,1,1,45,10
1971-01-28 00:00:00.0000000,0.10000000000000001,1,15,9
1971-01-29 00:00:00.0000000,0,1,20,9
1971-01-31 00:00:00.0000000,3.5,4,30,0
1971-02-01 00:00:00.0000000,0,3,15,-1
1971-02-02 00:00:00.0000000,0,3,11,-10
1971-02-03 00:00:00.0000000,0,2,15,-10
1971-02-04 00:00:00.0000000,0,2,31,13
1971-02-09 00:00:00.0000000,5,5,35,14
1971-02-10 00:00:00.0000000,0,5,18,5
1971-02-11 00:00:00.0000000,0,4,24,5
1971-02-12 00:00:00.0000000,0,1,48,13
1971-02-14 00:00:00.0000000,6,6,36,10
1971-02-15 00:00:00.0000000,0,5,26,9
1971-02-16 00:00:00.0000000,0,4,32,22
1971-02-17 00:00:00.0000000,0,3,39,15
1971-02-18 00:00:00.0000000,0,1,45,18
1971-03-03 00:00:00.0000000,0.5,1,47,29
1971-03-04 00:00:00.0000000,7.5,8,32,17
1971-03-05 00:00:00.0000000,0.5,6,30,17
1971-03-06 00:00:00.0000000,0,4,43,22
1971-03-07 00:00:00.0000000,0,1,51,28
1971-03-08 00:00:00.0000000,1,2,37,22
1971-03-09 00:00:00.0000000,0.5,2,29,18
