"STATION","NAME","DATE","DSND","EMSD","EMSN","SNOW","TAVG","TMAX","TMIN"
"USC00364214","INDIANA 3 SE, PA US","1970-01","29","7","3.6","23.9","20.8","29.5","12.0"
"USC00364214","INDIANA 3 SE, PA US","1970-02","17","6","7.5","25.5","27.7","38.1","17.2"
"USC00364214","INDIANA 3 SE, PA US","1970-03","9","5","8.7","22.1","34.1","42.2","26.0"
"USC00364214","INDIANA 3 SE, PA US","1970-04","0","0","1.0","1.0","50.0","64.0","35.9"
"USC00364214","INDIANA 3 SE, PA US","1970-05","0","0","0.0","0.0","62.2","75.7","48.8"
"USC00364214","INDIANA 3 SE, PA US","1970-06","0","0","0.0","0.0","67.2","79.2","55.3"
"USC00364214","INDIANA 3 SE, PA US","1970-07","0","0","0.0","0.0","70.9","82.3","59.5"
"USC00364214","INDIANA 3 SE, PA US","1970-08","0","0","0.0","0.0","70.6","82.7","58.5"
"USC00364214","INDIANA 3 SE, PA US","1970-09","0","0","0.0","0.0","66.9","79.0","54.8"
"USC00364214","INDIANA 3 SE, PA US","1970-10","0","0","0.0","0.0","55.4","65.1","45.6"
"USC00364214","INDIANA 3 SE, PA US","1970-11","2","1","1.4","1.8","43.8","51.8","35.7"
"USC00364214","INDIANA 3 SE, PA US","1970-12","7","3","2.1","8.3","32.9","41.6","24.3"
"USC00364214","INDIANA 3 SE, PA US","1971-01","15","6","4.0","16.1","24.5","33.5","15.5"
"USC00364214","INDIANA 3 SE, PA US","1971-02","15","14","14.0","24.3","30.4","39.8","20.9"
"USC00364214","INDIANA 3 SE, PA US","1971-03","10","9","9.0","16.7","34.4","44.2","24.6"
"USC00364214","INDIANA 3 SE, PA US","1971-04","0","0","0.0","0.0","45.9","60.6","31.3"
"USC00364214","INDIANA 3 SE, PA US","1971-05","0","0","0.0","0.0","55.7","69.4","42.1"
"USC00364214","INDIANA 3 SE, PA US","1971-06","0","0","0.0","0.0","69.8","81.9","57.7"
"USC00364214","INDIANA 3 SE, PA US","1971-07","0","0","0.0","0.0","69.2","81.3","57.2"
"USC00364214","INDIANA 3 SE, PA US","1971-08","0","0","0.0","0.0","68.3","80.1","56.5"
"USC00364214","INDIANA 3 SE, PA US","1971-09","0","0","0.0","0.0","67.9","77.3","58.4"
"USC00364214","INDIANA 3 SE, PA US","1971-10","0","0","0.0","0.0","59.0","70.5","47.5"
"USC00364214","INDIANA 3 SE, PA US","1971-11","4","6","6.0","9.1","40.9","50.2","31.6"
"USC00364214","INDIANA 3 SE, PA US","1971-12","2","1","1.0","1.5","39.1","48.5","29.8"
"USC00364214","INDIANA 3 SE, PA US","1972-01","6","3","3.4","6.6","31.2","41.3","21.0"
"USC00364214","INDIANA 3 SE, PA US","1972-02","29","17","11.0","36.7","25.1","36.7","13.4"
"USC00364214","INDIANA 3 SE, PA US","1972-03","6","3","2.8","10.7","36.0","47.7","24.3"
"USC00364214","INDIANA 3 SE, PA US","1972-04","1","1","2.5","3.0","47.4","61.1","33.7"
"USC00364214","INDIANA 3 SE, PA US","1972-05","0","0","0.0","0.0","60.7","74.0","47.3"
"USC00364214","INDIANA 3 SE, PA US","1972-06","0","0","0.0","0.0","63.2","74.0","52.4"
"USC00364214","INDIANA 3 SE, PA US","1972-07","0","0","0.0","0.0","70.1","80.3","59.8"
"USC00364214","INDIANA 3 SE, PA US","1972-08","0","0","0.0","0.0","69.1","80.7","57.6"
"USC00364214","INDIANA 3 SE, PA US","1972-09","0","0","0.0","0.0","64.8","75.5","54.0"
"USC00364214","INDIANA 3 SE, PA US","1972-10","0","0","1.0","1.0","49.0","58.8","39.1"
"USC00364214","INDIANA 3 SE, PA US","1972-11","2","1","2.0","3.0","39.1","46.2","32.1"
"USC00364214","INDIANA 3 SE, PA US","1972-12","6","3","3.3","6.9","36.9","43.6","30.3"
"USC00364214","INDIANA 3 SE, PA US","1973-01","4","1","1.0","3.2","30.1","39.8","20.3"
"USC00364214","INDIANA 3 SE, PA US","1973-02","8","4","3.3","11.3","27.7","37.8","17.6"
"USC00364214","INDIANA 3 SE, PA US","1973-03","2","2","2.0","3.0","45.5","56.9","34.0"
"USC00364214","INDIANA 3 SE, PA US","1973-04","1","1","1.6","1.6","48.8","59.6","38.1"
"USC00364214","INDIANA 3 SE, PA US","1973-05","0","0","0.0","0.0","55.1","65.6","44.5"
"USC00364214","INDIANA 3 SE, PA US","1973-06","0","0","0.0","0.0","68.8","81.3","56.3"
"USC00364214","INDIANA 3 SE, PA US","1973-07","0","0","0.0","0.0","70.6","82.7","58.5"
"USC00364214","INDIANA 3 SE, PA US","1973-08","0","0","0.0","0.0","70.9","82.7","59.2"
"USC00364214","INDIANA 3 SE, PA US","1973-09","0","0","0.0","0.0","63.4","75.6","51.1"
"USC00364214","INDIANA 3 SE, PA US","1973-10","0","0","0.0","0.0","53.2","66.1","40.3"
"USC00364214","INDIANA 3 SE, PA US","1973-11","1","2","2.6","2.6","42.8","53.2","32.4"
